index,City,State,population,minimum_age_x,minimum_age_y,Hispanic,White,Black,Native,Asian,Pacific,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Employed,Unemployment,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Mean,Median,Stdev
688,Antigo,WI,563508,0.0,80.0,1.9,94.9,0.8,0.6,0.3,0.1,16.0,21.3,25.8,17.2,24.1,13.8,19.1,8779,8.2,81.7,8.3,0.4,3.9,1.7,4.0,21.9,81.6,11.7,6.3,0.4,41775.0,2442.0,23857.0,812.0,44335.5,34516.5,34618.5
705,Apache,OK,161568,0.0,80.0,11.2,58.2,2.7,21.8,0.3,0.0,21.2,27.4,28.1,16.9,21.5,18.5,15.0,11208,9.5,83.3,11.1,0.6,2.2,1.0,1.8,21.6,67.2,25.1,7.7,0.1,40674.0,1790.0,20003.0,980.0,64547.0,41128.0,54683.0
734,Arab,AL,726396,0.0,80.0,12.7,82.7,1.9,0.4,0.5,0.0,20.2,32.9,28.1,14.6,22.7,13.4,21.1,38140,8.4,82.0,12.9,0.2,1.0,0.8,3.1,23.6,78.0,14.8,7.1,0.1,38983.0,1262.0,21363.0,676.0,58478.0,300000.0,38954.0
739,Aransas Pass,TX,518584,0.0,80.0,26.1,68.3,1.5,0.1,1.7,0.0,19.0,36.4,28.6,19.9,22.7,18.5,10.3,9464,6.8,79.6,11.5,0.0,2.9,0.9,5.0,22.0,75.4,12.4,12.2,0.1,41690.0,3678.0,28472.0,2723.0,38667.666666666664,29776.0,35096.0
742,Arapahoe,NC,64988,0.0,80.0,3.4,74.1,18.7,0.6,0.3,0.8,13.6,24.5,29.4,17.9,22.9,17.6,12.2,5107,9.7,75.3,14.9,0.0,1.9,2.5,5.3,26.3,73.7,18.7,6.7,0.9,43444.0,2113.0,24176.0,1062.0,58334.0,48355.0,40139.0
743,Arapahoe,NE,55836,0.0,80.0,3.3,94.8,0.1,0.5,0.2,0.0,17.2,31.2,36.5,14.4,20.4,13.3,15.4,2323,3.4,73.2,12.2,0.1,4.1,1.5,9.0,14.5,67.6,16.7,15.1,0.6,39934.0,2282.0,22769.0,1091.0,47478.5,37517.5,34288.5
755,Arcadia,FL,1346708,0.0,80.0,30.5,55.2,12.9,0.1,0.3,0.1,30.6,42.4,15.7,21.9,19.5,30.6,12.3,12279,9.4,68.7,18.0,6.2,2.0,2.6,2.6,25.0,80.5,14.7,4.8,0.0,35165.0,2072.0,16441.0,1103.0,48594.333333333336,126342.33333333333,33864.333333333336
759,Arcadia,LA,192324,0.0,80.0,1.4,46.2,50.0,0.3,0.0,0.0,27.7,47.3,24.7,24.5,17.3,12.1,21.5,5494,13.5,84.7,9.8,0.0,3.5,0.5,1.5,24.4,70.8,23.8,5.4,0.0,32072.0,2317.0,17547.0,1346.0,19998.0,13636.0,19033.0
768,Arcanum,OH,315964,0.0,80.0,1.1,95.0,1.4000000000000001,0.2,0.9,0.0,26.1,38.5,55.2,35.9,42.900000000000006,21.0,44.9,68494,14.899999999999999,84.35,9.4,0.4,1.7,1.15,3.05,23.4,82.75,11.4,5.65,0.2,49693.5,1595.5,24867.0,805.5,45107.0,46876.0,23315.0
790,Ardmore,OK,1508408,0.0,80.0,4.5,70.7,1.8,6.4,0.6,0.0,19.3,27.2,33.3,15.2,17.6,13.6,20.4,4078,6.7,78.9,13.7,0.4,2.5,0.6,3.9,23.8,69.6,23.2,6.9,0.2,38776.0,3469.0,20425.0,1254.0,51154.4,41381.8,46524.6
821,Arkadelphia,AR,718828,0.0,80.0,4.3,69.6,23.9,0.1,0.8,0.0,23.7,32.6,35.0,21.1,22.4,7.4,14.0,9780,8.4,79.2,10.7,0.4,4.1,1.3,4.3,21.5,73.1,21.2,5.3,0.3,35031.0,2501.0,19555.0,1106.0,15984.0,9618.0,18373.0
841,Arlington,NE,93368,0.0,80.0,2.4,95.3,0.7,0.2,0.1,0.1,9.5,15.5,37.4,13.9,24.8,11.4,12.6,10850,1.4,85.1,6.9,0.0,3.1,0.5,4.5,21.2,79.6,13.5,6.7,0.2,65370.0,2817.0,31151.0,1394.0,77179.0,62428.0,58501.0
846,Arlington,TX,16142236,0.0,80.0,27.6,49.8,15.1,0.3,4.9,0.2,15.0,21.5,36.3,16.0,25.7,8.9,13.1,924741,6.9,82.9,10.0,0.6,1.2,1.4,3.9,26.5,83.1,11.4,5.4,0.1,58711.0,488.0,29058.0,254.0,69631.29166666667,88018.33333333333,47547.916666666664
847,Arlington,VA,9002136,0.0,80.0,16.05,57.7,14.6,0.2,8.2,0.05,17.3,24.200000000000003,126.1,26.5,32.3,7.5,7.6000000000000005,233880,8.2,56.45,7.25,24.049999999999997,4.25,2.6,5.4,29.450000000000003,70.1,25.35,4.5,0.05,97448.5,2512.5,59220.0,1223.5,120821.46153846153,144748.07692307694,69536.07692307692
893,Arroyo,PR,848452,0.0,80.0,99.8,0.2,0.0,0.0,0.0,0.0,52.7,57.0,25.5,28.6,20.9,11.2,13.9,4000,22.9,85.1,11.0,2.1,0.8,0.0,1.0,21.3,62.7,30.5,6.9,0.0,15298.0,1594.0,7562.0,842.0,20629.0,18049.0,14292.0
923,Ash,NC,169136,0.0,80.0,4.8,81.2,10.6,0.3,0.6,0.4,16.3,29.1,28.8,21.6,25.9,13.4,10.3,45213,11.4,79.6,13.3,0.4,0.7,1.2,4.8,23.7,78.0,13.6,8.1,0.2,46859.0,1715.0,27586.0,1126.0,50636.0,37077.333333333336,44409.0
928,Ashburn,GA,279048,0.0,80.0,7.550000000000001,55.650000000000006,34.3,0.1,1.25,0.0,54.599999999999994,85.2,62.4,32.8,50.0,28.6,26.299999999999997,18938,18.3,78.95,12.5,0.35,1.5,2.95,3.8,22.2,71.65,23.4,4.95,0.05,34729.5,3496.0,19152.5,2207.0,65249.0,300000.0,37557.0
949,Ashland,AL,220132,0.0,80.0,3.2,79.9,14.4,0.7,0.0,0.0,16.7,22.5,21.5,13.3,20.8,15.3,29.1,5180,9.4,84.3,10.4,0.6,1.8,0.9,2.1,30.3,77.5,14.7,7.8,0.0,35327.0,4517.0,18905.0,1067.0,44628.0,35064.0,33198.0
952,Ashland,KY,1741696,0.0,80.0,1.5,93.5,2.7,0.3,0.4,0.0,20.4,30.2,34.7,17.7,23.9,10.4,13.4,18376,10.5,82.3,11.1,0.3,3.5,1.2,1.6,21.1,80.3,14.5,5.0,0.3,42319.0,2715.0,25745.0,2632.0,55000.333333333336,43936.666666666664,49076.666666666664
953,Ashland,MA,720764,0.0,80.0,7.3,74.7,4.6,0.1,10.5,0.0,8.3,9.2,53.4,14.5,19.8,5.7,6.5,832753,6.1,68.9,7.5,11.4,4.9,2.2,5.2,29.3,82.8,10.7,6.5,0.1,85118.0,757.0,44152.0,368.0,80009.0,300000.0,71706.0
990,Aspen,CO,434456,0.0,80.0,9.7,86.3,1.2,0.2,1.4,0.0,9.9,11.6,40.4,23.6,25.0,6.9,4.0,10290,7.7,52.3,8.4,11.9,10.4,6.5,10.4,17.8,80.5,9.4,9.8,0.2,71196.0,11001.0,55519.0,8780.0,80365.0,62911.0,58239.0
1001,Astoria,NY,6422680,0.0,80.0,27.9,26.1,17.4,0.2,24.2,0.0,15.1,20.5,32.3,24.8,24.0,8.2,10.7,1104930,8.6,31.6,6.4,52.3,5.8,1.5,2.4,42.6,79.9,13.6,6.4,0.1,57720.0,552.0,26876.0,165.0,68954.66666666667,56106.5,56166.833333333336
1007,Atchison,KS,590392,0.0,80.0,2.8,88.2,4.1,0.4,0.3,0.1,19.2,26.3,32.8,17.1,21.7,10.1,18.3,7519,7.3,73.6,10.9,0.1,7.4,1.0,6.9,20.8,80.1,13.5,6.0,0.4,43581.0,3090.0,21677.0,2230.0,48325.0,39620.0,41246.5
1012,Athens,AL,2310264,0.0,80.0,5.8,77.4,12.8,0.5,1.2,0.0,14.3,18.5,34.2,15.2,22.3,12.4,16.0,37664,7.8,87.4,8.9,0.3,0.6,0.6,2.1,26.3,77.9,16.4,5.5,0.2,49570.0,1409.0,25569.0,1111.0,62876.75,51163.25,44591.25
1013,Athens,GA,5057052,0.0,80.0,10.6,56.4,26.5,0.2,4.4,0.0,36.6,39.4,39.4,22.2,21.6,5.6,11.2,53922,9.2,74.6,11.5,4.1,4.2,2.8,2.9,19.3,69.6,26.0,4.3,0.1,32162.0,1188.0,19276.0,542.0,57656.6,45459.2,48003.6
1021,Athens,TN,1096084,0.0,80.0,3.3,90.0,4.0,0.2,0.5,0.0,19.9,28.3,26.1,15.8,21.8,9.9,26.5,20767,9.3,85.8,9.8,0.1,0.8,0.5,3.0,23.0,83.0,11.5,5.5,0.0,38535.0,2764.0,20215.0,1194.0,43723.5,32686.0,36384.0
