City,State,Professional,Service,Office,Construction,Production
Boswell,OK,30.1,19.4,23.6,9.6,17.2
Boulder,UT,27.6,26.4,24.1,15.8,6.2
Bouton,IA,47.5,11.7,25.8,5.8,9.2
Boutte,LA,30.4,16.9,26.3,13.3,13.0
Bovina,TX,23.9,14.0,18.5,17.1,26.5
Bowie,MD,37.5,20.9,23.6,9.7,8.4
Bowie,TX,53.599999999999994,30.299999999999997,40.7,38.9,36.5
Bowlegs,OK,27.2,18.6,22.8,13.8,17.6
Bowling Green,KY,32.2,18.0,24.9,7.5,17.4
Bowling Green,OH,35.3,17.6,23.3,7.9,15.8
Bowman,ND,31.8,17.1,19.2,23.1,8.8
Box Elder,MT,33.9,17.3,22.6,12.6,13.7
Boyertown,PA,49.0,13.1,23.6,6.5,7.8
Bozeman,MT,39.6,18.1,22.3,11.7,8.3
Bracey,VA,56.3,44.400000000000006,46.7,24.4,28.2
Brackenridge,PA,43.7,17.0,24.6,6.1,8.5
Brackettville,TX,30.0,36.5,11.6,20.5,1.3
Bradenton Beach,FL,33.2,20.9,26.7,9.7,9.4
Bradford,IL,35.5,18.5,19.9,10.9,15.2
Bradford,TN,27.1,19.0,24.7,9.6,19.7
Bradgate,IA,31.6,13.3,21.4,13.4,20.4
Bradleyville,MO,24.6,28.1,30.2,8.8,8.3
Brady,TX,26.9,22.4,22.2,15.4,13.2
Braidwood,IL,36.4,15.8,25.3,8.6,13.9
Branchville,IN,19.8,20.7,18.0,10.5,30.9
Brandon,FL,37.4,17.7,27.7,8.8,8.4
Brandy Station,VA,35.9,16.4,24.0,12.7,11.0
Brasstown,NC,28.9,28.5,22.6,9.2,10.8
Braxton,MS,41.0,14.0,25.5,10.6,8.8
Brazil,IN,21.4,18.2,23.3,14.4,22.7
Breaux Bridge,LA,24.2,20.1,24.1,15.3,16.3
Breckenridge,TX,58.8,33.599999999999994,44.8,34.2,28.700000000000003
Breda,IA,27.3,18.3,23.8,11.1,19.4
Breeding,KY,30.7,16.6,20.3,11.6,20.7
Bremen,IN,26.9,12.7,21.9,10.3,28.2
Bremo Bluff,VA,43.2,15.1,24.3,11.1,6.3
Bremond,TX,26.2,20.7,22.8,14.7,15.6
Brenham,TX,60.8,33.6,44.4,25.9,35.4
Brewerton,NY,40.8,17.1,25.8,6.8,9.4
Briceville,TN,34.1,17.6,25.5,9.7,13.1
Bridgeport,WV,32.8,18.3,25.0,11.9,12.1
Bridgeton,NJ,26.3,23.6,22.2,11.1,16.9
Bridgeville,CA,29.8,30.0,22.1,11.1,7.1
Bridgewater Corners,VT,39.5,17.5,20.6,10.7,11.7
Brierfield,AL,21.5,17.9,17.8,19.0,23.7
Brighton,TN,29.2,16.1,23.9,14.4,16.4
Brightwood,VA,30.7,22.2,20.6,15.1,11.4
Briscoe,TX,28.9,16.6,25.3,19.2,10.1
Bristol,CT,42.6,16.9,24.0,6.2,10.4
Bristol,VA,56.5,43.7,49.099999999999994,19.4,31.3
Bristol,WI,32.9,18.0,23.9,9.3,15.8
Bristow,IA,27.9,16.9,22.1,11.2,21.9
Bristow,OK,29.2,18.3,18.2,17.7,16.6
Broadus,MT,43.0,14.1,17.1,18.9,6.9
Broadview,MT,26.4,16.3,19.3,23.7,14.2
Broadview,NM,27.8,18.6,21.4,16.5,15.7
Brocket,ND,34.9,17.3,26.3,11.7,9.9
Broken Bow,OK,23.2,19.1,19.7,15.2,22.9
Bronston,KY,29.7,18.9,26.4,9.8,15.1
Bronx,NY,24.3,33.3,24.2,7.1,11.0
Brookesmith,TX,32.3,19.8,22.5,10.0,15.4
Brookings,SD,34.9,17.4,21.5,10.9,15.3
Brooklyn,CT,32.1,20.6,23.6,10.2,13.5
Brooklyn,NY,38.5,24.1,22.3,6.3,8.8
Brooks,KY,26.2,13.0,28.0,11.3,21.5
Brooksville,FL,29.1,20.0,29.6,10.9,10.3
Brookville,PA,25.1,18.2,20.4,12.9,23.4
Broomfield,CO,44.0,15.2,25.1,8.0,7.7
Browns Valley,MN,42.0,18.4,18.9,11.6,9.1
Brownsville,TX,27.9,25.3,25.0,10.7,11.1
Brownton,MN,30.5,17.3,20.7,10.1,21.4
Brunswick,NC,25.9,22.9,22.4,12.1,16.7
Brunswick,OH,38.1,15.1,25.7,8.6,12.4
Brusly,LA,30.3,17.8,24.2,11.9,15.6
Brutus,MI,24.8,22.4,26.5,13.7,12.6
Bryan,TX,40.1,17.2,24.7,9.3,8.7
Buchanan,GA,28.2,19.7,18.8,14.4,18.9
Buchanan,MI,32.9,18.8,23.1,8.8,16.5
Buchanan,NY,46.4,18.8,22.1,6.5,6.2
Buckatunna,MS,21.8,14.4,22.2,18.8,22.8
Buckhannon,WV,31.8,18.4,19.8,14.5,15.5
Buckholts,TX,30.0,16.7,23.0,17.9,12.4
Buena Vista,CO,36.1,18.2,25.6,13.0,7.1
Buena Vista,VA,16.2,28.7,21.1,7.0,26.9
Buffalo,MO,26.8,16.1,25.9,11.0,20.2
