City,State,population,Poverty,Diversity,Employment,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Mean,Income,Stdev,Income
Baldwyn,MS,337832,74.3,4495.480000000001,2289668.9599999995,1330,1170,401,643,1205,1354,167,430,1240,1050,369,349,646,1157,115,830,102,1065,401,1065
Ball Ground,GA,563244,39.6,5135.3,6694995.76,967,57,18,706,1042,206,640,754,1256,1030,552,1107,250,239,626,300,1208,1294,132,1294
Baltimore,MD,27495204,92.10000000000001,2638.3800000000006,16473057.52,676,418,596,358,160,721,1115,266,307,494,1289,322,27,958,650,829,830,1108,908,1108
Barceloneta,PR,1065460,178.2,1858.4199999999998,191527.44,1002,503,805,839,573,741,365,269,302,53,554,556,1184,849,1181,812,600,1260,674,1260
Barnesville,GA,584672,96.7,4541.140000000001,602598.32,653,398,187,645,336,535,433,755,661,453,847,798,300,817,314,871,25,847,1184,847
Barnesville,MN,159808,32.3,5788.000000000001,201447.99999999997,1293,163,287,1157,1161,993,987,425,443,301,545,828,772,93,808,776,1044,974,1076,974
Barnhart,MO,436700,40.5,5794.25,6504222.96,1086,472,264,599,692,1205,979,418,291,269,64,1215,1236,419,558,773,344,880,299,880
Barnum,IA,16544,58.0,5525.520000000001,1020188.48,1327,1234,841,179,197,782,667,864,61,1108,1343,872,497,321,77,876,666,527,375,527
Barranquitas,PR,1328932,397.6,1850.2549999999999,866720.8799999999,913,1181,610,959,795,429,516,417,675,183,273,1005,676,1356,966,347,1074,324,553,324
Batavia,NY,988548,54.2,5602.970000000001,1804502.64,605,1312,1099,1264,708,371,949,1085,124,71,666,215,1146,644,877,229,903,506,1267,506
Battle Creek,NE,60940,58.0,5227.26,1138723.1199999999,601,1045,895,1276,414,24,1092,1248,344,472,181,1323,1324,285,299,346,72,884,356,884
Battle Ground,IN,105292,33.8,5617.47,695361.6,1301,1353,393,312,630,503,413,287,372,283,539,874,580,364,516,344,1109,637,1213,637
Bauxite,AR,178156,31.5,5437.530000000001,3244678.1599999997,791,1208,497,311,402,449,424,288,83,57,913,949,670,493,1234,926,381,832,1057,832
Bay City,MI,2908444,58.0,5604.08,2791890.64,724,149,440,66,618,377,1317,292,194,461,39,240,1233,760,1220,925,851,830,1024,830
Bay City,TX,993916,92.10000000000001,3683.5,965390.08,25,218,1002,380,170,238,160,294,977,495,28,1094,18,196,889,749,1159,224,82,224
Bayamon,PR,9058720,134.6,1867.4299999999998,4171389.52,790,637,1086,937,126,874,591,1255,1325,568,378,438,481,1107,527,918,416,872,1052,872
Bayport,NY,349536,24.4,4664.16,44688858.88,1320,800,650,667,21,587,170,304,418,1088,252,510,480,792,1065,237,252,1238,223,1238
Beach Haven,NJ,293876,51.3,5369.929999999999,14998488.96,375,464,250,536,216,1198,812,305,616,504,814,218,9,372,663,917,590,1230,1160,1230
Bealeton,VA,366652,19.0,5150.53,2098708.0,108,1348,272,611,570,1132,697,832,1042,291,1061,176,563,826,608,914,1248,417,194,417
Beattyville,KY,327492,161.0,5971.98,119973.84,224,1299,335,914,1271,934,852,1113,1121,1002,1133,139,758,1045,886,913,275,229,646,229
Beaufort,SC,2297592,55.2,4520.790000000001,4285891.84,585,85,609,915,1092,451,455,1245,525,517,1076,430,537,727,658,754,674,601,102,601
Beaverton,MI,400488,108.9,5803.549999999999,651563.84,1242,1156,425,989,491,1214,222,110,513,454,516,1189,723,655,274,743,783,376,818,376
Beaverton,OR,7973812,43.0,4511.66,16803654.720000003,296,233,1037,1196,1203,331,280,495,494,527,590,787,1363,907,2,758,1298,75,1044,75
Beeville,TX,1206876,92.4,3182.98,635695.2,163,805,1210,1214,1347,154,57,57,26,1339,224,535,35,469,1089,337,1100,917,1208,917
Belden,MS,204644,59.0,5007.530000000002,819599.5199999999,1115,440,1233,1269,1295,207,268,1183,659,369,701,1039,804,756,971,899,82,1280,245,1280
Bella Vista,CA,53636,65.0,5122.58,4211472.56,1240,692,1045,1250,102,560,145,571,299,1185,1108,1297,95,131,44,761,866,761,803,761
Bellaire,MI,175384,63.9,5811.230000000001,579682.64,1117,840,19,1111,484,370,461,639,329,1136,1185,559,1275,137,149,889,205,152,1365,152
Belleville,IL,4112504,74.8,4261.860000000001,7085798.4799999995,737,1335,402,979,241,647,1168,637,823,359,972,1004,1265,211,271,886,568,441,802,441
Bellevue,NE,2637052,24.799999999999997,5220.610000000001,5328988.48,485,51,163,612,689,564,299,984,750,239,245,850,1228,548,794,254,234,1163,1298,1163
Bells,TX,136356,62.0,4986.95,3334273.76,1048,519,1292,621,1369,1359,729,983,71,1098,47,19,1238,762,862,884,81,594,10,594
Belmont,NY,108988,67.1,5797.52,1241288.64,636,1315,750,547,377,767,385,567,1200,930,926,1161,257,255,304,256,939,1298,1056,1298
Belpre,OH,428604,59.4,5818.870000000001,1586052.16,994,1255,1026,190,9,1308,650,592,800,356,488,439,143,241,295,257,585,302,221,302
Bend,OR,4552900,75.8,5525.170000000001,487780.39999999997,770,571,238,560,245,1067,760,83,233,989,1222,654,436,145,715,883,646,1014,275,1014
Benicia,CA,1177088,51.4,3147.5999999999995,11371323.68,1267,625,1147,109,73,27,671,661,1209,911,427,429,8,1372,767,259,1184,1080,94,1080
Benkelman,NE,56364,29.200000000000003,5565.77,56822.4,259,351,718,797,372,598,274,663,868,234,301,337,1360,475,76,768,106,231,1369,231
Bennington,VT,628232,60.7,5798.36,1095474.64,866,251,880,25,904,162,1276,1156,60,266,976,751,90,65,975,261,245,964,963,964
Benzonia,MI,83952,41.6,5760.780000000002,461132.48,622,1007,844,740,1041,262,574,669,1266,264,894,1278,106,335,999,338,699,1096,1321,1096
Berea,KY,1058684,205.49999999999994,5903.345,677693.84,213,837,1370,1190,146,538,1153,31,963,1130,635,719,240,1159,586,125,387,53,723,53
Berkeley Springs,WV,544632,41.5,5860.92,434837.3599999999,175,219,569,630,696,639,540,90,389,895,376,716,134,407,685,1087,818,986,821,986
Bernalillo,NM,439516,51.400000000000006,3488.5499999999997,3553087.04,421,305,676,221,817,471,1054,27,875,1058,895,1346,813,88,914,631,821,629,344,629
Berthoud,CO,447920,45.9,4606.839999999999,7867474.72,678,391,652,908,852,537,260,659,433,838,824,1205,790,494,173,553,223,1052,477,1052
Berwick,LA,217184,83.6,3966.34,1287067.04,350,1370,752,703,171,815,1209,24,880,570,4,919,415,971,1080,459,802,70,717,70
Bessemer,MI,116864,88.2,5548.66,350519.60000000003,190,760,765,808,511,896,1211,1348,894,1210,592,432,448,410,1064,52,477,1257,980,1257
Bethlehem,GA,545952,53.400000000000006,3268.4100000000008,24962494.959999997,1266,65,201,1234,143,225,275,43,281,579,1243,382,1270,1145,268,53,390,566,590,566
Bethlehem,PA,5253204,35.4,5074.1500000000015,8807409.36,437,493,535,402,804,804,823,1354,1062,3,110,246,831,426,941,457,1142,363,224,363
Bethune,CO,19668,67.19999999999999,5007.690000000001,208228.08,715,588,1001,1007,1284,1215,645,994,585,550,548,714,556,460,301,558,380,189,1362,189
Biddeford,ME,994488,32.8,5796.800000000001,6293396.08,1185,1311,1174,958,1149,1254,90,578,486,1324,1069,266,471,1326,697,60,189,1113,41,1113
Big Rock,TN,78892,77.3,5655.74,293330.31999999995,1187,1189,999,245,1003,1082,94,584,566,55,1320,129,322,1328,668,563,1141,396,840,396
Big Sandy,TN,143440,85.0,5742.94,355875.76,941,153,896,938,1349,766,306,649,650,688,1313,171,654,1064,777,63,1052,896,79,896
Big Spring,TX,1456928,3.4,4624.39,30437.199999999997,986,587,687,546,483,85,1152,992,820,704,1294,1300,336,532,804,570,394,918,1274,918
Billings,MT,5508096,40.3,5410.17,4777338.319999999,982,1351,541,3,209,490,371,53,819,718,87,287,624,952,901,1286,1058,1202,1089,1202
Birmingham,AL,21324292,74.4,3736.0800000000004,17827038.319999997,786,502,521,1060,343,1172,201,42,149,723,650,607,254,950,1037,572,661,236,72,236
