City,State,Mean,Median,Stdev
Bainbridge,GA,44899.0,31388.0,38289.333333333336
Bainbridge,NY,52841.0,44096.0,42015.0
Bainbridge,PA,76380.0,62666.0,56682.0
Bainbridge Island,WA,126314.5,94914.5,86887.5
Baird,TX,51779.0,42184.0,41966.0
Baker,FL,74247.0,46407.0,67368.0
Baker,LA,51594.0,44865.0,41180.5
Baker,NV,24166.0,300000.0,5056.0
Baker,WV,56472.0,48079.0,45718.5
Baker City,OR,48339.666666666664,38195.0,45431.666666666664
Bakersfield,CA,59350.86842105263,89388.44736842105,42421.07894736842
Bala Cynwyd,PA,106537.0,88585.5,70198.0
Balch Springs,TX,51128.5,43335.0,40464.5
Baldwin,FL,40461.0,35084.0,24709.0
Baldwin,GA,43920.5,37584.0,31790.0
Baldwin,MI,33842.5,24413.0,32278.5
Baldwin,NY,98643.0,235466.66666666666,69100.33333333333
Baldwin,WI,72155.0,64932.0,46073.0
Baldwin Park,CA,61803.666666666664,135612.5,41905.5
Baldwinsville,NY,81783.33333333333,150182.0,54103.666666666664
Baldwyn,MS,28985.0,18437.0,29579.0
Ball,LA,51755.0,48317.0,35203.0
Ball Ground,GA,73421.0,62714.0,51216.5
Ballinger,TX,48392.5,41112.0,38030.5
Ballston Lake,NY,102028.66666666667,235403.33333333334,54346.333333333336
Ballston Spa,NY,78689.5,191173.0,53377.5
Ballwin,MO,106255.25,201870.75,62715.0
Baltimore,MD,63442.964539007095,63328.29787234042,46122.0780141844
Baltimore,OH,56361.0,46016.0,42384.0
Bamberg,SC,33983.0,33453.0,17966.0
Bandera,TX,68544.0,50979.0,52904.0
Bangor,ME,43136.666666666664,30286.666666666668,41925.666666666664
Bangor,MI,45404.0,35634.0,37822.5
Bangor,PA,76362.33333333333,138440.0,52339.666666666664
Bangs,TX,56338.0,51533.0,29881.0
Banks,OR,86910.0,81034.0,52525.0
Banner Elk,NC,75720.0,60888.0,63634.0
Banning,CA,28743.0,25825.0,23094.0
Banquete,TX,56300.0,45547.0,42587.0
Bar Harbor,ME,46620.0,37226.0,42078.0
Baraboo,WI,46654.5,36740.0,35760.0
Baraga,MI,53497.0,45513.0,44125.0
Barberton,OH,47251.0,87538.8,29280.6
Barboursville,WV,46016.0,36518.0,38234.5
Barbourville,KY,37535.333333333336,119660.66666666667,31348.333333333332
Barceloneta,PR,20073.2,13524.6,18479.2
Barco,NC,48040.0,31575.0,46667.0
Bardstown,KY,52840.5,43957.0,43515.5
Bardwell,KY,44366.0,33560.333333333336,38014.333333333336
Barnegat,NJ,90098.5,78874.0,58842.0
Barnesville,GA,48963.333333333336,35453.333333333336,45141.333333333336
Barnesville,MN,62567.0,55585.5,45699.5
Barnesville,OH,47177.0,35416.0,46064.0
Barnet,VT,66607.0,64654.0,46751.0
Barnhart,MO,83284.0,300000.0,52211.0
Barnum,IA,52144.0,300000.0,28309.0
Barnwell,SC,39970.5,31842.0,32644.5
Barrackville,WV,47705.0,39625.5,34803.5
Barranquitas,PR,26368.5,18700.0,25240.5
Barre,MA,95647.0,300000.0,62247.0
Barre,VT,58957.0,55645.0,35690.0
