City,State,Hispanic,White,Black,Native,Asian,Pacific
Buchanan,MI,5.0,75.3,14.9,0.3,1.8,0.0
Buchanan,NY,23.3,55.4,13.4,0.1,5.7,0.0
Buckatunna,MS,1.4,58.5,39.0,0.2,0.1,0.0
Buckhannon,WV,1.1,96.4,1.1,0.1,0.2,0.2
Buckholts,TX,25.0,63.7,8.3,0.2,0.6,0.0
Buena Vista,CO,10.1,85.4,2.0,0.7,0.3,0.0
Buena Vista,VA,1.4,88.9,1.1,0.0,7.1,0.0
Buffalo,MO,1.8,94.6,0.1,0.2,0.1,0.0
Buffalo,SD,1.1,94.6,0.7,1.7,0.7,0.0
Buffalo,WY,4.4,94.8,0.0,0.4,0.0,0.0
Buford,GA,27.1,62.3,7.3,0.2,1.7,0.0
Buhl,ID,28.8,68.4,0.1,1.2,0.6,0.0
Bullhead City,AZ,15.6,78.2,1.0,1.7,1.1,0.1
Bullock,NC,7.1,41.2,49.3,0.3,0.5,0.0
Buna,TX,6.5,74.5,16.3,0.4,0.4,0.0
Buncombe,IL,5.0,91.7,1.2,0.1,0.4,0.0
Burbank,SD,2.5,88.8,1.5,2.9,2.1,0.0
Burgaw,NC,6.3,74.2,17.1,0.3,0.2,0.1
Burley,ID,33.4,64.0,0.1,0.8,0.4,0.1
Burlington,VT,2.1,90.0,2.3,0.2,3.2,0.0
