index,City,State,population,minimum_age_x,minimum_age_y
512,Ambler,PA,1385384,0.0,80.0
513,Amboy,CA,748,0.0,80.0
514,Amboy,IL,170544,0.0,80.0
515,Amboy,IN,62216,0.0,80.0
516,Amboy,MN,48400,0.0,80.0
517,Amboy,WA,130372,0.0,80.0
518,Ambridge,PA,505956,0.0,80.0
519,Ambrose,GA,97284,0.0,80.0
520,Ambrose,ND,3344,0.0,80.0
521,Amelia,LA,4796,0.0,80.0
522,Amelia,NE,6072,0.0,80.0
523,Amelia,OH,988460,0.0,80.0
524,Amelia Court House,VA,451352,0.0,80.0
525,Amenia,ND,11704,0.0,80.0
526,Amenia,NY,106172,0.0,80.0
527,American Canyon,CA,857560,0.0,80.0
528,American Falls,ID,276892,0.0,80.0
529,American Fork,UT,1848880,0.0,80.0
530,Americus,GA,1169476,0.0,80.0
531,Americus,KS,58960,0.0,80.0
532,Amery,WI,344916,0.0,80.0
533,Ames,IA,2734160,0.0,80.0
534,Ames,NE,22396,0.0,80.0
535,Ames,OK,21692,0.0,80.0
536,Amesbury,MA,702548,0.0,80.0
537,Amesville,OH,48356,0.0,80.0
538,Amherst,CO,6688,0.0,80.0
539,Amherst,MA,1711424,0.0,80.0
540,Amherst,NE,33792,0.0,80.0
541,Amherst,NH,490908,0.0,80.0
542,Amherst,OH,894784,0.0,80.0
543,Amherst,SD,3740,0.0,80.0
544,Amherst,TX,41580,0.0,80.0
545,Amherst,VA,455136,0.0,80.0
546,Amherst,WI,150612,0.0,80.0
547,Amherst Junction,WI,65560,0.0,80.0
548,Amherstdale,WV,49764,0.0,80.0
549,Amidon,ND,5764,0.0,80.0
550,Amigo,WV,6644,0.0,80.0
551,Amissville,VA,223696,0.0,80.0
552,Amistad,NM,5588,0.0,80.0
553,Amite,LA,600028,0.0,80.0
554,Amity,AR,158488,0.0,80.0
555,Amity,MO,14784,0.0,80.0
556,Amity,OR,165440,0.0,80.0
557,Amity,PA,60016,0.0,80.0
558,Amityville,NY,1149676,0.0,80.0
559,Amlin,OH,99308,0.0,80.0
560,Amma,WV,11484,0.0,80.0
561,Amo,IN,6952,0.0,80.0
562,Amonate,VA,3344,0.0,80.0
563,Amoret,MO,22836,0.0,80.0
564,Amorita,OK,3652,0.0,80.0
