City,State,PrivateWork,PublicWork,SelfEmployed,FamilyWork
Bellaire,MI,78.2,11.5,10.0,0.3
Belle Plaine,MN,86.6,9.2,4.1,0.1
Belleview,MO,75.2,19.1,5.5,0.1
Belleville,IL,79.8,16.1,4.0,0.1
Bellevue,NE,80.1,15.8,4.1,0.1
Bellevue,TX,72.4,17.0,10.4,0.2
Bells,TX,78.4,13.8,7.5,0.3
Belmont,NY,73.9,18.8,7.1,0.2
Belpre,OH,80.0,15.0,4.8,0.1
Belvidere,NC,69.4,25.9,4.5,0.2
Bend,OR,74.7,15.1,10.0,0.1
Benicia,CA,74.2,19.7,6.0,0.1
Benkelman,NE,60.9,19.3,19.7,0.0
Bennett,IA,73.6,16.3,9.5,0.6
Bennington,IN,81.7,13.2,3.4,1.7
Bennington,VT,77.4,10.1,12.4,0.1
Benzonia,MI,78.0,14.9,7.0,0.1
Berea,KY,74.95,18.85,6.2,0.0
Berkeley Springs,WV,72.5,19.9,7.6,0.0
Berlin Heights,OH,81.4,13.0,5.5,0.1
Bern,ID,71.5,17.9,10.3,0.2
Bernalillo,NM,72.3,21.4,6.2,0.1
Berryton,KS,72.6,19.8,7.5,0.1
Berthoud,CO,80.3,13.1,6.4,0.2
Berwick,LA,80.4,14.9,4.7,0.0
Bessemer,MI,76.0,19.5,4.3,0.2
Bethlehem,GA,83.2,10.1,6.3,0.3
Bethlehem,PA,84.6,10.6,4.7,0.1
Bethune,CO,62.9,22.9,14.0,0.2
Beulah,MS,65.2,28.6,6.1,0.2
Beulah,ND,60.0,16.3,22.6,1.1
Biddeford,ME,78.1,14.0,7.7,0.2
Big Cabin,OK,73.2,18.6,7.8,0.4
Big Pine Key,FL,76.7,14.0,9.1,0.2
Big Rock,TN,65.6,28.5,5.7,0.2
Big Rock,VA,78.7,17.8,3.5,0.0
Big Sandy,MT,59.2,24.5,15.1,1.2
Big Sandy,TN,73.6,18.4,7.8,0.2
Big Spring,TX,68.5,17.0,14.4,0.0
Big Wells,TX,70.5,21.9,7.6,0.0
Bighill,KY,76.9,18.8,4.2,0.2
Biglerville,PA,82.9,11.1,5.9,0.2
