City,State,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute
Billings,MT,80.5,10.5,1.0,2.8,1.5,3.7,19.2
Billingsley,AL,81.2,14.2,0.2,1.1,1.4,1.9,32.0
Binford,ND,76.7,6.6,0.0,5.5,0.9,10.3,15.6
Bingen,WA,75.0,9.3,0.0,4.5,1.2,10.0,22.8
Bird City,KS,73.4,10.5,0.0,8.2,0.9,7.0,14.1
Birdsnest,VA,75.6,12.7,1.2,3.7,1.3,5.6,19.7
Birmingham,AL,84.9,9.3,0.9,1.3,1.0,2.5,23.6
Bisbee,ND,65.8,11.3,0.1,13.5,1.5,7.8,14.2
Bishop,CA,58.8,7.85,6.4,11.7,6.1,9.15,16.75
Bismarck,AR,83.6,12.3,0.6,1.0,0.7,1.7,26.2
Bismarck,ND,82.2,10.3,0.2,2.2,1.0,4.1,18.2
Black River,NY,75.9,11.1,0.4,6.8,1.9,4.0,17.8
Black River Falls,WI,81.4,9.0,0.3,2.8,2.8,3.7,20.1
Blacksburg,SC,86.1,10.1,0.1,1.5,1.0,1.2,21.4
Blacksburg,VA,75.5,8.1,5.2,4.3,2.6,4.3,18.4
Blackstone,VA,83.0,11.4,0.2,0.4,2.9,2.0,26.8
Blackwell,TX,82.75,8.3,0.1,3.4,2.0,3.5,19.1
Blanchard,ID,77.2,10.2,0.4,2.6,2.4,7.2,24.1
Blanchardville,WI,76.0,8.6,0.3,5.0,1.4,8.6,24.8
Blanchester,OH,85.4,6.95,0.44999999999999996,2.05,1.0499999999999998,4.15,27.1
Blanco,OK,83.4,11.6,0.4,1.1,0.8,2.7,20.1
Blanco,TX,76.3,14.2,0.0,3.1,1.0,5.5,26.0
Bledsoe,TX,71.9,22.8,0.5,2.3,1.0,1.5,19.5
Bloomery,WV,80.4,15.4,0.4,2.2,0.0,1.6,38.1
Bloomfield,KY,82.0,11.1,1.3,3.1,0.9,1.5,26.1
Bloomingdale,MI,83.3,7.9,0.3,3.5,1.2,3.9,24.8
Bloomington Springs,TN,89.1,6.7,0.1,0.9,0.7,2.5,22.9
Blountsville,AL,84.9,11.2,0.4,0.9,0.4,2.3,34.9
Blue Mound,IL,81.7,11.1,0.8,1.3,0.9,4.2,24.3
Blue Mountain,MS,83.3,10.5,0.3,1.7,0.6,3.6,24.4
Blue Ridge,TX,81.4,10.4,0.1,1.5,1.4,5.2,29.4
Blue River,WI,77.1,8.6,0.3,6.7,1.9,5.4,20.4
Blue Springs,MO,81.9,8.1,2.4,1.8,1.5,4.2,23.0
Blue Springs,NE,80.4,11.0,0.0,2.7,0.6,5.3,19.8
Bluff City,KS,82.5,9.7,0.2,3.3,1.9,2.4,15.3
Bluff Dale,TX,82.7,9.1,0.1,1.4,0.9,5.8,31.8
Bluffton,AR,78.0,13.1,0.4,1.8,2.0,4.7,21.1
Bogart,GA,85.0,8.0,0.2,0.5,0.9,5.4,30.7
Bogata,TX,82.5,10.6,0.0,2.2,1.6,3.2,30.4
Boise,ID,67.8,12.6,0.7,4.8,1.1,12.9,37.9
Bomont,WV,71.2,20.7,0.0,2.1,3.0,3.0,41.4
Bond,CO,64.6,16.8,2.2,5.7,1.3,9.4,19.8
Bonesteel,SD,70.9,11.1,0.0,6.8,1.4,9.8,14.9
Bonita Springs,FL,74.6,11.0,2.6,1.5,3.3,7.0,24.0
Bonners Ferry,ID,76.8,10.5,0.1,3.5,1.3,7.7,21.8
Boone,NC,74.0,10.0,2.5,5.6,1.0,6.9,19.5
Boones Mill,VA,78.7,11.3,0.5,3.1,1.2,5.2,29.8
Boonville,NC,82.4,12.0,0.0,1.0,1.2,3.4,27.4
Boston,GA,80.0,13.6,0.2,1.2,2.4,2.6,20.4
Boston,KY,85.3,9.9,0.0,1.1,0.5,3.2,26.3
Boston,MA,40.8,6.9,32.5,13.6,2.8,3.4,30.2
Boswell,OK,80.9,11.4,0.5,2.1,2.2,2.9,20.9
Boulder,UT,71.5,13.5,0.0,8.5,2.1,4.5,14.1
Bouton,IA,86.7,6.6,0.2,1.5,0.8,4.3,20.9
Boutte,LA,88.4,7.0,0.0,0.7,1.9,2.0,26.2
Bovina,TX,73.5,17.0,1.0,3.3,1.7,3.5,15.9
Bowie,MD,65.3,11.7,17.2,2.2,1.0,2.6,36.5
Bowie,TX,80.94999999999999,11.45,0.0,2.0,0.9,4.65,25.95
Bowlegs,OK,83.6,9.3,0.1,1.9,1.4,3.7,22.8
Bowling Green,KY,81.0,11.5,0.5,3.2,1.3,2.6,19.5
Bowling Green,OH,84.1,6.7,0.3,4.2,1.7,2.9,20.1
Bowman,ND,81.1,8.2,0.0,4.4,1.4,4.8,15.5
Box Elder,MT,80.1,8.3,0.2,6.2,1.1,4.1,11.9
Boyertown,PA,79.1,6.9,5.2,2.7,0.8,5.2,27.9
Bozeman,MT,72.5,9.1,0.6,6.3,4.6,6.8,17.5
Bracey,VA,81.5,10.95,0.95,1.65,1.9500000000000002,3.0,26.8
Brackenridge,PA,72.1,9.0,9.1,4.2,1.5,4.2,26.4
Brackettville,TX,77.6,7.6,0.5,0.2,4.4,9.8,17.9
Bradenton Beach,FL,79.3,9.7,0.9,1.5,2.0,6.7,24.5
Bradford,IL,77.2,11.4,0.3,3.8,0.9,6.4,26.6
Bradford,TN,90.0,5.7,0.1,1.1,0.7,2.4,23.8
Bradgate,IA,74.4,9.6,0.2,5.5,1.2,9.1,16.9
Bradleyville,MO,74.9,15.6,1.0,3.3,0.7,4.5,20.7
Brady,TX,80.5,11.3,0.0,6.1,0.0,2.0,16.2
Braidwood,IL,83.9,6.2,3.9,0.7,1.2,4.0,32.6
Branchville,IN,85.5,11.3,0.2,0.7,0.7,1.6,22.5
Brandon,FL,80.4,8.9,1.4,1.6,2.0,5.5,26.4
Brandy Station,VA,81.8,9.1,1.2,1.8,1.0,5.1,38.7
