City,State,Income,IncomeErr,IncomePerCap,IncomePerCapErr
Boonville,NC,37796.0,2335.0,21372.0,1329.0
Boston,GA,36641.0,1929.0,20471.0,1009.0
Boston,KY,49298.0,2651.0,24699.0,1834.0
Boston,MA,55044.0,992.0,34420.0,553.0
Boswell,OK,38847.0,1541.0,20688.0,642.0
Boulder,UT,42614.0,3713.0,19971.0,1882.0
Bouton,IA,76320.0,2150.0,37669.0,1200.0
Boutte,LA,59990.0,2481.0,27247.0,923.0
Bovina,TX,45326.0,5746.0,20381.0,1374.0
Bowie,MD,74260.0,766.0,32639.0,270.0
Bowie,TX,48248.0,4548.0,24709.5,1791.0
Bowlegs,OK,36068.0,1482.0,19141.0,741.0
Bowling Green,KY,44911.0,1525.0,23823.0,835.0
Bowling Green,OH,53577.0,1562.0,27477.0,666.0
Bowman,ND,66845.0,7320.0,34414.0,2481.0
Box Elder,MT,44633.0,3552.0,20869.0,941.0
Boyertown,PA,80675.0,836.0,42275.0,438.0
Bozeman,MT,55553.0,1893.0,30293.0,1049.0
Bracey,VA,37137.5,2438.0,19431.5,1068.5
Brackenridge,PA,53040.0,530.0,32848.0,300.0
Brackettville,TX,38281.0,7317.0,17299.0,2311.0
Bradenton Beach,FL,49675.0,862.0,27958.0,432.0
Bradford,IL,50085.0,5985.0,27148.0,2347.0
Bradford,TN,38457.0,2012.0,20704.0,916.0
Bradgate,IA,45069.0,2595.0,26406.0,1284.0
Bradleyville,MO,38357.0,1583.0,20520.0,835.0
Brady,TX,40561.0,3136.0,22194.0,1988.0
Braidwood,IL,76101.0,809.0,31310.0,329.0
Branchville,IN,47470.0,2811.0,20964.0,865.0
Brandon,FL,50579.0,420.0,27764.0,264.0
Brandy Station,VA,66697.0,3512.0,28104.0,1525.0
Brasstown,NC,37076.0,7525.0,22106.0,2585.0
Braxton,MS,58801.0,1989.0,27389.0,670.0
Brazil,IN,40781.0,3064.0,20592.0,2135.0
Breaux Bridge,LA,42794.0,3904.0,22983.0,1175.0
Breckenridge,TX,44322.0,4759.0,23882.5,2086.5
Breda,IA,49572.0,1708.0,26991.0,1116.0
Breeding,KY,32019.0,3342.0,17571.0,2018.0
Bremen,IN,48485.0,2296.0,22895.0,771.0
Bremo Bluff,VA,63938.0,3207.0,28669.0,1246.0
Bremond,TX,36079.0,2516.0,16739.0,844.0
Brenham,TX,52478.0,3924.5,26357.5,1781.5
Brewerton,NY,55092.0,657.0,29444.0,263.0
Briceville,TN,42880.0,1488.0,25590.0,1179.0
Bridgeport,WV,43987.0,1332.0,24415.0,682.0
Bridgeton,NJ,49984.0,1313.0,22417.0,533.0
Bridgeville,CA,34974.0,4081.0,22975.0,1710.0
Bridgewater Corners,VT,52965.0,2430.0,32474.0,1217.0
Brierfield,AL,38678.0,3995.0,18431.0,1618.0
Brighton,TN,53669.0,2038.0,23572.0,868.0
Brightwood,VA,47736.0,4973.0,25349.0,2692.0
Briscoe,TX,62813.0,4638.0,30082.0,4159.0
Bristol,CT,66395.0,636.0,35611.0,374.0
Bristol,VA,36304.0,2719.5,21036.0,1485.5
Bristol,WI,54918.0,1305.0,26514.0,573.0
Bristow,IA,52360.0,1539.0,26498.0,1282.0
Bristow,OK,36216.0,2902.0,16818.0,1097.0
Broadus,MT,46346.0,7538.0,29902.0,3027.0
Broadview,MT,39517.0,2686.0,23545.0,1709.0
Broadview,NM,41084.0,2099.0,21929.0,1693.0
Brocket,ND,50841.0,4948.0,29006.0,2309.0
Broken Bow,OK,32324.0,1166.0,17898.0,616.0
Bronston,KY,34790.0,2528.0,20215.0,1118.0
Bronx,NY,34299.0,495.0,18456.0,186.0
Brookesmith,TX,41962.0,2246.0,21916.0,1126.0
Brookings,SD,50082.0,2006.0,25727.0,1634.0
Brooklyn,CT,59392.0,2221.0,28140.0,610.0
Brooklyn,NY,48201.0,419.0,26774.0,203.0
Brooks,KY,55975.0,2043.0,24458.0,615.0
Brooksville,FL,40945.0,1067.0,21586.0,466.0
Brookville,PA,42903.0,1635.0,22282.0,504.0
Broomfield,CO,70164.0,712.0,37065.0,442.0
Browns Valley,MN,49186.0,2915.0,29120.0,1332.0
Brownsville,TX,33266.0,884.0,15105.0,320.0
Brownton,MN,56128.0,2339.0,27612.0,793.0
Brunswick,NC,34949.0,1720.0,19814.0,896.0
Brunswick,OH,66952.0,1345.0,31760.0,640.0
Brusly,LA,53703.0,3313.0,26118.0,1168.0
Brutus,MI,40219.0,1325.0,23631.0,1055.0
Bryan,TX,39808.0,1299.0,22648.0,547.0
Buchanan,GA,41910.0,4156.0,20740.0,1255.0
Buchanan,MI,44993.0,1009.0,25241.0,555.0
Buchanan,NY,83958.0,1045.0,48885.0,599.0
Buckatunna,MS,32557.0,3328.0,20231.0,1631.0
Buckhannon,WV,40330.0,4447.0,20230.0,1001.0
Buckholts,TX,38929.0,3148.0,22130.0,1355.0
Buena Vista,CO,51092.0,2278.0,28064.0,2002.0
Buena Vista,VA,29097.0,4461.0,15707.0,1559.0
Buffalo,MO,38062.0,3318.0,17494.0,1277.0
Buffalo,SD,52396.0,5105.0,25087.0,2837.0
Buffalo,WY,54065.0,6444.0,30144.0,3817.0
Buford,GA,51202.0,1016.0,24292.0,627.0
Buhl,ID,39930.0,3884.0,19688.0,1674.0
Bullhead City,AZ,38488.0,1064.0,20974.0,567.0
Bullock,NC,33316.0,1974.0,18606.0,1122.0
Buna,TX,40820.0,3325.0,20121.0,917.0
Buncombe,IL,42606.0,3300.0,23140.0,1416.0
Burbank,SD,36608.0,3292.0,21121.0,1292.0
Burgaw,NC,44828.0,3773.0,23561.0,1105.0
Burley,ID,44853.0,2089.0,20674.0,1545.0
Burlington,VT,65350.0,1634.0,33977.0,666.0
Burlington,WV,31790.0,2266.0,19111.0,825.0
Burlington,WY,51679.0,2108.0,23812.0,1016.0
