City,State,Poverty,ChildPoverty
Clayton,NM,10.4,5.2
Clayton,OK,24.6,39.0
Cle Elum,WA,22.2,17.1
Clearbrook,MN,16.9,25.3
Cleveland,GA,18.8,21.1
Cleveland,NY,17.1,27.4
Cleveland,OH,18.7,27.8
Cleveland,TX,17.6,22.7
Clifford,VA,13.0,17.4
Clifton,KS,11.4,19.4
Clifton,TX,14.5,23.1
Clifton Forge,VA,17.0,24.7
Clinton,KY,15.0,21.0
Clio,AL,26.7,45.3
Cloquet,MN,13.7,15.7
Clover,SC,13.5,18.0
Cloverdale,OR,17.4,22.7
Cluster Springs,VA,19.2,25.5
Coahoma,TX,15.6,22.1
Coal City,IL,9.1,10.5
Coalgate,OK,20.7,30.5
Coamo,PR,49.4,60.4
Coats,KS,12.3,17.9
Coatsville,MO,21.2,33.7
Coeburn,VA,21.4,32.4
Coffeeville,MS,22.3,34.8
Colby,KS,9.7,4.7
Cold Brook,NY,14.6,22.2
Coldwater,MS,17.5,23.0
Colebrook,NH,14.1,21.7
Coleman,MI,34.0,51.9
Collierville,TN,13.9,21.8
Collins,GA,29.2,41.7
Collinston,LA,28.5,42.0
Collison,IL,18.8,29.1
Colonial Heights,VA,11.4,16.9
Colorado City,TX,11.5,10.8
Colt,AR,24.8,36.7
Columbia,CA,13.9,15.9
Columbia,TN,15.3,23.5
Columbia City,IN,8.0,11.4
Columbia Falls,MT,13.3,18.2
Columbiaville,MI,10.6,15.4
Columbus,GA,20.5,29.4
Columbus,IN,12.8,18.5
Columbus,NE,16.1,19.7
Columbus Grove,OH,5.8,6.4
Comanche,OK,15.3,21.0
Comer,GA,15.9,23.6
Comerio,PR,60.0,73.7
Comfort,TX,7.8,12.3
Comfrey,MN,16.8,23.2
Comins,MI,19.8,30.1
Commerce,GA,23.9,30.4
Commerce,OK,22.9,35.5
Commiskey,IN,15.9,22.5
Concord,NE,11.9,20.4
Concord,TX,13.9,20.7
Concrete,WA,16.0,23.3
Conehatta,MS,22.6,34.0
Conley,GA,25.1,37.8
Connellsville,PA,19.3,31.5
Conover,WI,14.4,20.8
Conrad,MT,20.9,27.2
Conroe,TX,12.0,17.0
Converse,IN,17.8,25.4
Conway,NC,28.1,51.4
Conway,SC,18.1,29.8
Conway Springs,KS,12.4,16.3
Cook Station,MO,21.0,26.3
Coon Valley,WI,16.0,25.1
Cooper,IA,12.6,18.1
Coquille,OR,18.3,25.2
Cora,WY,8.1,10.4
Corinth,KY,18.4,27.9
Corinth,ME,17.0,20.3
Cornersville,TN,16.2,25.3
Corning,CA,19.8,27.6
Cornish,NH,9.7,12.7
Corsica,SD,8.6,8.9
Cortez,CO,17.9,31.3
Corunna,IN,14.6,21.4
Corunna,MI,14.4,21.4
Corwith,IA,8.5,12.6
Cosby,TN,41.400000000000006,61.4
Coshocton,OH,16.1,24.2
Cost,TX,20.3,29.6
Cotopaxi,CO,17.4,29.4
Cotter,AR,15.9,25.7
Cotton Center,TX,23.0,34.7
Cottonwood Falls,KS,13.8,17.9
Cotulla,TX,15.6,29.0
Couch,MO,26.3,39.4
Coulee City,WA,14.8,23.9
Council,ID,12.9,16.0
Coupeville,WA,9.6,13.9
Courtland,MS,22.8,30.5
Cove City,NC,15.6,26.1
Covington,GA,16.5,24.2
Covington,LA,11.4,15.2
Covington,MI,15.6,24.9
Covington,PA,14.4,19.7
Covington,VA,37.3,53.7
Coxsackie,NY,12.9,17.5
Coy,AL,37.7,49.9
Crab Orchard,NE,11.8,15.2
Crab Orchard,TN,16.5,24.1
Craigsville,VA,21.4,36.3
Craigville,IN,16.3,27.3
Crane,IN,13.0,19.8
Crane,TX,13.1,16.3
Crawford,OK,14.5,20.9
Crawfordsville,IA,12.2,19.4
Crawfordville,GA,58.5,102.30000000000001
Crayne,KY,21.9,29.9
Crenshaw,MS,39.5,60.8
Creole,LA,9.7,9.7
Cresco,PA,12.5,16.1
Crestline,OH,16.4,25.7
Creston,IA,13.6,19.7
Creston,WV,13.7,20.3
Creswell,NC,21.8,31.2
Cromwell,KY,22.0,35.6
Crook,CO,16.9,26.2
Cropwell,AL,16.0,22.3
Crossville,AL,18.7,25.2
Crowell,TX,26.3,30.0
Crowley,TX,12.1,17.7
Crown Point,IN,17.9,29.4
Crystal Spring,PA,12.2,16.4
Crystal Springs,MS,27.2,41.1
Cub Run,KY,24.9,31.4
Cuba,IL,14.2,18.4
Culbertson,MT,27.8,34.3
Culbertson,NE,17.4,26.6
Culebra,PR,45.5,56.3
Cullman,AL,18.5,25.0
Cumberland,KY,31.2,42.0
Cumberland Center,ME,11.6,14.9
Cumberland Gap,TN,21.9,28.9
Currie,MN,9.2,12.5
Cushing,IA,11.7,14.8
Cushing,OK,15.7,20.6
Cushing,WI,10.3,14.5
Cusseta,AL,21.6,37.2
Cusseta,GA,11.5,10.3
Cut Bank,MT,33.2,40.0
Cutler,IL,17.2,27.3
Cuyahoga Falls,OH,14.8,21.7
Cynthiana,IN,11.1,16.9
Cypress,FL,22.1,34.9
Cypress,IL,14.6,17.8
Daggett,MI,16.2,30.4
Dahlonega,GA,14.2,16.2
Dailey,WV,17.0,21.5
Daisy,GA,27.7,42.3
Dakota City,IA,12.2,19.2
Daleville,AL,36.2,52.599999999999994
Daleville,MS,22.8,36.1
Dalhart,TX,23.4,34.8
Dalton,MA,13.0,19.7
Damon,TX,11.2,14.6
Dana,IL,13.2,20.2
Danville,GA,23.5,33.5
Danville,PA,16.1,18.1
Danville,VA,23.7,36.0
Darlington,IN,14.2,23.8
Datto,AR,21.8,31.5
Davidson,NC,14.0,21.1
Davis,WV,14.9,24.3
Dawson Springs,KY,37.3,59.1
Dawsonville,GA,30.4,52.9
Dayton,OH,32.2,47.8
Dayton,TN,24.5,37.3
De Borgia,MT,17.2,33.2
De Mossville,KY,15.3,23.0
De Queen,AR,22.1,33.4
De Smet,SD,10.1,12.0
De Soto,WI,12.8,16.8
Dearborn,MO,18.1,26.5
Deary,ID,21.6,17.1
Decatur,AL,16.1,24.3
Decatur,TN,20.8,27.5
Decorah,IA,19.0,24.200000000000003
Dedham,MA,6.6,6.7
Deer Island,OR,13.6,19.3
Deer Lodge,TN,22.7,33.5
Deer Park,AL,19.1,25.7
Deer Trail,CO,7.0,11.2
Deerfield,WI,12.9,13.9
Defuniak Springs,FL,17.1,29.1
Delcambre,LA,17.8,22.7
Delta,CO,19.0,29.9
Delta,OH,10.8,14.7
Deltona,FL,17.4,27.0
Deming,NM,29.6,39.0
Denhoff,ND,15.6,24.5
Denmark,SC,28.2,42.4
Dennis,MA,8.7,13.5
Denver,CO,17.3,26.1
Denver,MO,14.5,21.4
Denver City,TX,23.5,25.6
Depew,OK,15.5,22.1
Derry,NH,5.5,7.3
Detroit,MI,25.0,36.9
Devol,OK,17.3,23.1
Dewy Rose,GA,40.9,55.9
Dexter,IA,11.4,14.8
Dexter,KY,23.1,22.6
Dexter,MO,15.7,19.1
Diaz,AR,26.8,45.0
Dickinson,AL,24.7,29.8
Dickinson,ND,6.7,4.9
Dilley,TX,22.1,29.5
Dillon,CO,13.7,19.6
Dingmans Ferry,PA,9.9,14.6
Dinwiddie,VA,14.8,19.1
Disputanta,VA,20.5,28.7
Divide,CO,7.5,9.5
Dixfield,ME,17.5,25.1
Dixon Springs,TN,17.3,20.7
Dodge,NE,23.4,32.9
Dodson,LA,26.4,35.1
Dodson,MT,27.7,37.8
Dolliver,IA,13.6,17.8
Donaldsonville,LA,11.8,15.6
Donnelly,ID,15.0,14.9
Doon,IA,7.3,9.3
Dorado,PR,74.0,91.5
Doswell,VA,6.0,7.9
Dothan,AL,33.9,50.5
Douglas,GA,25.5,35.6
Douglass,TX,24.6,31.8
Douglasville,GA,16.4,22.0
Dove Creek,CO,21.5,29.8
Dover,DE,13.5,19.7
Dover,OK,7.2,9.5
Dow City,IA,19.8,30.9
Downsville,LA,28.1,50.7
Doyle,TN,19.6,25.2
Doylesburg,PA,11.7,18.4
Drakes Branch,VA,20.5,27.2
Drewsey,OR,17.8,27.5
Driscoll,ND,7.6,8.5
Drummond,WI,11.6,19.6
Dry Branch,GA,27.7,30.4
Dryden,TX,20.2,25.9
