City,State,Employed,Unemployment
Columbus,NE,20544,6.4
Columbus Grove,OH,17579,3.4
Comanche,OK,19029,6.6
Comer,GA,6355,5.3
Comerio,PR,4776,20.6
Comfort,TX,16597,4.5
Comfrey,MN,5408,4.9
Comins,MI,2792,13.2
Commerce,GA,8038,8.4
Commerce,OK,12922,9.4
Commiskey,IN,12285,9.7
Concord,NE,2916,4.5
Concord,TX,6673,7.5
Concrete,WA,51761,8.2
Conehatta,MS,8319,10.6
Conley,GA,114144,14.1
Connellsville,PA,53700,8.4
Conover,WI,8986,8.0
Conrad,MT,2738,6.0
Conroe,TX,230258,6.1
Converse,IN,35740,9.2
Conway,NC,7193,15.9
Conway,SC,129161,8.7
Conway Springs,KS,10758,7.0
Cook Station,MO,9393,12.7
Coon Valley,WI,13450,4.0
Cooper,IA,4452,5.6
Coquille,OR,23458,11.7
Cora,WY,5541,5.4
Corinth,KY,10215,6.8
Corinth,ME,71852,7.8
Cornersville,TN,13637,8.4
Corning,CA,23127,13.2
Cornish,NH,21617,5.8
Corsica,SD,1352,1.9
Cortez,CO,11075,9.5
Corunna,IN,19542,7.5
Corunna,MI,29702,10.3
Corwith,IA,5640,1.5
Cosby,TN,58882,18.5
Coshocton,OH,15576,7.8
Cost,TX,8422,6.5
Cotopaxi,CO,13983,9.2
Cotter,AR,15229,7.6
Cotton Center,TX,14265,8.1
Cottonwood Falls,KS,1187,2.9
Cotulla,TX,2307,8.1
Couch,MO,4083,7.1
Coulee City,WA,18034,6.5
Council,ID,1474,11.3
Coupeville,WA,31525,9.0
Courtland,MS,12826,10.3
Cove City,NC,40530,11.4
Covington,GA,37374,11.2
Covington,LA,110923,7.6
Covington,MI,2358,8.1
Covington,PA,18289,7.4
Covington,VA,4261,11.399999999999999
Coxsackie,NY,19731,9.1
Coy,AL,2838,20.8
Crab Orchard,NE,2053,3.6
Crab Orchard,TN,20279,9.0
Craigsville,VA,6262,9.0
Craigville,IN,14982,6.2
Crane,IN,4716,6.1
Crane,TX,1980,5.2
Crawford,OK,1698,0.8
Crawfordsville,IA,5614,4.8
Crawfordville,GA,4372,21.0
Crayne,KY,3645,7.1
Crenshaw,MS,2324,25.3
Creole,LA,3077,6.3
Cresco,PA,76767,12.0
Crestline,OH,18142,8.1
Creston,IA,6385,5.4
Creston,WV,2265,8.4
Creswell,NC,1350,14.1
Cromwell,KY,8906,9.6
Crook,CO,10407,9.0
Cropwell,AL,36977,8.4
Crossville,AL,27778,7.7
Crowell,TX,1980,16.799999999999997
Crowley,TX,68950,7.3
Crown Point,IN,212423,10.5
Crystal Spring,PA,6598,7.5
Crystal Springs,MS,10280,14.3
Cub Run,KY,6958,9.6
Cuba,IL,15565,7.9
Culbertson,MT,3575,6.8
Culbertson,NE,1358,3.0
Culebra,PR,661,3.2
Cullman,AL,32282,7.3
