City,population,minimum_age,maximum_age
Assumption,13089,10.0,84.0
Astatula,6988,0.0,84.0
Aston,10310,0.0,84.0
Astor,10269,5.0,84.0
Astoria,47601,0.0,84.0
Atalissa,5390,0.0,84.0
Atascadero,10533,0.0,84.0
Atascosa,7109,0.0,84.0
Atchison,10415,0.0,84.0
Atco,8088,0.0,79.0
Atglen,4279,0.0,84.0
Athelstane,9138,0.0,84.0
Athena,10012,0.0,84.0
Athens,174732,0.0,84.0
Atherton,11068,0.0,79.0
Athol,26326,0.0,84.0
Atka,5399,0.0,84.0
Atkins,27060,0.0,84.0
Atkinson,27699,0.0,84.0
Atlanta,407404,0.0,84.0
Atlantic,33522,0.0,84.0
Atlantic Beach,26250,0.0,84.0
Atlantic City,9210,0.0,84.0
Atlantic Highlands,7413,0.0,84.0
Atlantic Mine,5111,0.0,84.0
Atlas,3683,0.0,84.0
Atlasburg,9707,0.0,84.0
Atmore,6390,0.0,84.0
Atoka,20902,0.0,84.0
Atomic City,8836,0.0,84.0
Atqasuk,6862,0.0,74.0
Attalla,8299,10.0,84.0
Attica,42312,0.0,84.0
Attleboro,7042,0.0,84.0
Attleboro Falls,9016,0.0,84.0
Atwater,23388,0.0,84.0
Atwood,50321,0.0,84.0
Au Gres,4068,5.0,84.0
Au Sable Forks,7592,0.0,84.0
Au Train,9930,0.0,84.0
Auberry,8999,0.0,84.0
Aubrey,9976,0.0,84.0
Auburn,173835,0.0,84.0
Auburn Hills,10780,0.0,84.0
Auburn University,7710,0.0,79.0
Auburndale,24707,0.0,84.0
Auburntown,9378,0.0,84.0
Audubon,28194,0.0,84.0
Augusta,191216,0.0,84.0
Augusta Springs,9336,5.0,84.0
Aulander,7797,0.0,84.0
Ault,9192,0.0,84.0
Aultman,8567,0.0,84.0
Aumsville,3534,0.0,84.0
Aurelia,4606,0.0,84.0
Aurora,243377,0.0,84.0
Austell,13196,0.0,84.0
Austerlitz,9661,5.0,84.0
Austin,390384,0.0,84.0
Austinburg,6329,0.0,79.0
Austinville,6889,5.0,84.0
Austwell,10336,5.0,84.0
Autaugaville,12373,0.0,84.0
Autryville,10461,0.0,84.0
Auxier,5550,0.0,84.0
Auxvasse,10098,0.0,74.0
Ava,33077,0.0,84.0
Avalon,43876,0.0,84.0
Avant,8481,5.0,84.0
