City,PrivateWork,PublicWork,SelfEmployed,FamilyWork
Broadus,51.2,23.5,23.2,2.1
Broadview,69.8,17.55,11.299999999999999,1.35
Brocket,73.0,18.2,8.5,0.3
Broken Bow,75.1,16.6,8.2,0.2
Bronston,78.8,15.3,5.6,0.3
Bronx,79.9,14.8,5.2,0.1
Brookesmith,75.2,16.5,8.2,0.1
Brookings,75.5,18.6,5.6,0.4
Brooklyn,78.44999999999999,15.350000000000001,6.0,0.25
Brooks,84.6,10.9,4.4,0.1
Brooksville,79.9,14.5,5.4,0.1
Brookville,82.0,10.5,7.2,0.3
Broomfield,79.8,13.8,6.2,0.2
Browns Valley,66.3,15.5,18.0,0.2
Brownsville,72.7,18.2,8.9,0.2
Brownton,85.5,8.5,5.9,0.1
Brunswick,79.2,15.0,5.65,0.15000000000000002
Brusly,76.5,17.9,5.6,0.0
Brutus,80.9,12.0,6.8,0.4
Bryan,68.3,25.6,5.8,0.2
Buchanan,79.83333333333333,13.700000000000001,6.333333333333333,0.10000000000000002
Buckatunna,78.1,14.4,7.3,0.2
Buckhannon,76.9,17.0,5.7,0.3
Buckholts,68.5,21.3,9.8,0.4
Buena Vista,76.1,16.75,6.449999999999999,0.65
Buffalo,67.7,16.266666666666666,14.466666666666669,1.5999999999999999
Buford,83.7,11.2,5.1,0.0
Buhl,78.8,10.6,9.6,1.0
Bullhead City,78.3,15.0,6.4,0.3
Bullock,74.9,20.6,4.4,0.0
Buna,77.7,15.5,6.7,0.1
Buncombe,68.9,23.8,6.5,0.8
Burbank,66.2,27.8,6.0,0.1
Burgaw,76.7,14.9,8.2,0.2
Burley,79.8,13.7,6.3,0.1
Burlington,75.63333333333333,18.03333333333333,6.166666666666667,0.13333333333333333
Burlington Junction,74.6,16.4,8.7,0.3
Burns,78.6,14.6,6.7,0.0
Burnsville,80.6,13.1,6.2,0.1
Burton,79.7,17.2,2.9,0.1
Burwell,55.85,16.95,26.700000000000003,0.5
Bushnell,68.2,16.9,14.9,0.0
Bussey,82.7,11.3,5.9,0.1
Butte,67.55,15.8,15.850000000000001,0.75
Butternut,74.4,18.9,6.6,0.1
Byhalia,82.4,12.6,5.0,0.0
Byrdstown,64.3,23.6,12.0,0.1
Byron,66.55000000000001,27.95,5.449999999999999,0.05
Cabins,77.7,15.1,7.1,0.0
Cadiz,74.1,18.7,6.8,0.4
Caguas,71.1,20.1,8.7,0.1
Cairo,78.55,15.95,5.5,0.05
Caldwell,79.8,13.8,6.1,0.4
Caledonia,73.9,19.7,5.8,0.6
Calhoun,80.25,12.25,7.1,0.35
Calhoun City,78.4,12.3,9.1,0.2
Caliente,50.1,43.1,6.6,0.3
Call,79.4,15.8,4.8,0.0
Calumet,73.5,21.3,5.0,0.2
Calvin,78.6,17.3,3.5,0.6
Camarillo,77.8,13.2,8.8,0.2
Cambria,79.7,11.2,8.9,0.2
Cambridge,72.63333333333333,16.766666666666666,10.0,0.6
Camden,74.76666666666667,18.233333333333334,6.833333333333333,0.16666666666666666
