City,Employed,Unemployment
Coulee City,18034,6.5
Council,1474,11.3
Coupeville,31525,9.0
Courtland,12826,10.3
Cove City,40530,11.4
Covington,173205,45.699999999999996
Coxsackie,19731,9.1
Coy,2838,20.8
Crab Orchard,22332,12.6
Craigsville,6262,9.0
Craigville,14982,6.2
Crane,6696,11.3
Crawford,1698,0.8
Crawfordsville,5614,4.8
Crawfordville,4372,21.0
Crayne,3645,7.1
Crenshaw,2324,25.3
Creole,3077,6.3
Cresco,76767,12.0
Crestline,18142,8.1
Creston,8650,13.8
Creswell,1350,14.1
Cromwell,8906,9.6
Crook,10407,9.0
Cropwell,36977,8.4
Crossville,27778,7.7
Crowell,1980,16.799999999999997
Crowley,68950,7.3
Crown Point,212423,10.5
Crystal Spring,6598,7.5
Crystal Springs,10280,14.3
Cub Run,6958,9.6
Cuba,15565,7.9
Culbertson,4933,9.8
Culebra,661,3.2
Cullman,32282,7.3
Cumberland,8189,9.8
Cumberland Center,152196,5.4
Cumberland Gap,11935,8.2
Currie,4244,4.5
Cushing,39289,17.6
Cusseta,15893,25.4
Cut Bank,4515,14.4
Cutler,8312,8.0
Cuyahoga Falls,258416,8.4
Cynthiana,12101,5.3
Cypress,19865,23.5
Daggett,10346,8.5
Dahlonega,9787,8.5
Dailey,11833,6.7
Daisy,3979,10.3
Dakota City,4652,4.8
Daleville,72394,27.6
Dalhart,5671,7.699999999999999
Dalton,62596,8.9
Damon,154290,5.4
Dana,51452,9.8
Danville,51170,23.2
Darlington,17497,6.9
Datto,6283,9.5
Davidson,76079,9.8
Davis,3052,7.6
Dawson Springs,24784,15.399999999999999
Dawsonville,103442,16.2
Dayton,325262,28.1
De Borgia,1527,11.8
De Mossville,6507,6.4
De Queen,7173,9.3
De Smet,2631,2.0
De Soto,7491,6.5
Dearborn,42029,7.5
Deary,18842,7.6
Decatur,55379,24.9
Decorah,19134,9.0
Dedham,358283,6.9
Deer Island,20362,9.8
Deer Lodge,6893,8.5
Deer Park,5656,20.0
Deer Trail,12373,6.7
Deerfield,287151,4.9
