City,Hispanic,White,Black,Native,Asian,Pacific
Blanchester,1.65,93.9,1.95,0.15000000000000002,0.65,0.0
Blanco,11.75,74.15,1.7,4.9,0.5,0.0
Bledsoe,56.2,38.4,3.7,0.2,0.0,0.0
Bloomery,1.2,96.1,1.3,0.1,0.0,0.0
Bloomfield,3.7,88.3,5.9,0.1,0.2,0.0
Bloomingdale,10.9,81.9,3.5,0.6,0.6,0.0
Bloomington Springs,5.7,89.3,2.4,0.1,1.1,0.0
Blountsville,8.6,87.9,1.5,0.3,0.1,0.0
Blue Mound,1.5,95.2,1.7,0.1,0.5,0.0
Blue Mountain,4.5,78.8,14.2,0.2,0.7,0.1
Blue Ridge,10.3,79.7,6.8,0.3,0.6,0.1
Blue River,1.4,95.6,1.3,0.1,0.7,0.0
Blue Springs,5.35,79.05,11.95,0.30000000000000004,1.05,0.2
Bluff City,6.4,90.5,0.1,1.4,0.1,0.1
Bluff Dale,11.4,85.6,0.8,0.8,0.6,0.0
Bluffton,19.0,76.0,2.0,0.5,1.5,0.0
Bogart,6.7,82.7,7.1,0.1,1.8,0.0
Bogata,7.2,73.1,17.6,0.4,0.1,0.0
Boise,3.6,92.4,0.5,1.4,0.1,0.3
Bomont,0.1,97.9,0.0,0.4,0.0,0.2
Bond,6.2,88.0,1.4,0.2,1.9,0.7
Bonesteel,0.8,88.4,0.0,7.1,1.1,0.0
Bonita Springs,26.5,64.5,6.6,0.2,1.2,0.0
Bonners Ferry,4.2,91.4,0.2,1.8,0.0,0.0
Boone,3.5,92.1,1.1,0.3,0.9,0.0
Boones Mill,2.7,87.0,8.4,0.1,0.3,0.0
Boonville,10.5,85.0,3.4,0.3,0.1,0.0
Boston,8.9,65.0,20.5,0.13333333333333333,3.266666666666666,0.0
Boswell,5.4,72.6,1.9,14.4,0.5,0.0
Boulder,5.6,90.2,0.6,0.5,0.8,0.6
Bouton,6.2,87.1,1.1,0.1,3.4,0.1
Boutte,5.6,65.7,26.1,0.2,1.1,0.0
Bovina,61.4,36.7,1.7,0.2,0.0,0.0
Bowie,14.1,59.93333333333334,22.53333333333333,0.2333333333333333,1.4666666666666668,0.0
Bowlegs,4.4,65.8,5.0,18.9,0.2,0.0
Bowling Green,5.0,84.8,6.0,0.2,2.35,0.1
Bowman,4.4,93.5,0.1,1.2,0.0,0.0
Box Elder,3.1,71.2,0.0,22.3,0.5,0.0
Boyertown,4.6,77.4,8.7,0.1,7.0,0.0
Bozeman,3.1,92.6,0.4,0.9,1.2,0.0
Bracey,2.25,50.2,45.400000000000006,0.2,0.4,0.0
Brackenridge,1.8,79.6,12.9,0.1,3.3,0.0
Brackettville,62.1,37.3,0.6,0.0,0.0,0.0
Bradenton Beach,15.5,72.2,9.0,0.1,1.8,0.0
Bradford,1.75,87.1,9.65,0.1,0.44999999999999996,0.0
Bradgate,3.3,94.4,1.2,0.1,0.1,0.0
Bradleyville,5.2,89.9,0.8,0.6,0.9,0.0
Brady,30.8,65.7,1.6,0.0,0.0,0.0
Braidwood,16.3,65.6,11.0,0.1,5.0,0.0
Branchville,1.2,94.4,3.0,0.1,0.3,0.0
Brandon,26.1,51.8,15.6,0.2,3.7,0.1
Brandy Station,9.0,71.5,13.9,0.3,1.4,0.1
Brasstown,3.0,96.0,0.5,0.0,0.1,0.0
Braxton,2.6,75.2,19.6,0.1,1.2,0.0
Brazil,1.3,95.0,2.0,0.2,0.1,0.3
Breaux Bridge,2.5,64.7,29.6,0.3,1.0,0.0
Breckenridge,19.95,76.4,1.85,0.6,0.3,0.0
Breda,2.6,95.8,0.6,0.0,0.0,0.0
Breeding,0.2,94.7,3.0,0.0,0.3,0.0
Bremen,9.1,88.6,0.6,0.1,0.6,0.1
Bremo Bluff,3.2,78.7,14.4,0.0,0.7,0.0
Bremond,22.1,51.8,24.5,0.1,0.2,0.1
Brenham,20.1,64.5,12.9,0.2,0.85,0.05
Brewerton,4.5,77.8,10.6,0.6,3.5,0.0
Briceville,2.5,90.0,3.8,0.3,1.3,0.0
Bridgeport,1.5,94.6,1.8,0.2,0.5,0.1
Bridgeton,28.6,48.5,18.6,0.5,1.3,0.0
Bridgeville,7.1,83.0,1.1,3.4,1.2,0.8
Bridgewater Corners,1.4,95.1,0.7,0.2,0.9,0.1
Brierfield,2.2,74.5,21.4,0.4,0.1,0.0
Brighton,2.5,76.2,18.0,0.5,0.7,0.6
Brightwood,2.1,85.3,8.3,0.0,0.0,0.0
Briscoe,33.0,64.0,1.0,0.4,0.3,0.0
Bristol,7.975,81.625,6.575,0.275,1.8250000000000002,0.0
Bristow,2.5,79.6,4.05,6.85,0.35,0.0
Broadus,2.1,94.0,0.0,1.5,0.0,0.0
Broadview,21.599999999999998,71.3,2.95,0.7,1.3,0.05
Brocket,2.2,85.4,0.1,9.6,0.6,0.0
Broken Bow,5.3,64.0,8.2,13.8,0.1,0.2
Bronston,2.3,94.5,0.9,0.1,0.6,0.1
Bronx,54.6,10.3,29.6,0.2,3.6,0.0
Brookesmith,20.7,73.5,4.2,0.2,0.4,0.0
Brookings,2.3,91.2,1.3,0.6,2.9,0.0
Brooklyn,15.05,59.9,16.55,0.1,6.3,0.0
