City,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute
Brackettville,77.6,7.6,0.5,0.2,4.4,9.8,17.9
Bradenton Beach,79.3,9.7,0.9,1.5,2.0,6.7,24.5
Bradford,83.6,8.55,0.2,2.45,0.8,4.4,25.200000000000003
Bradgate,74.4,9.6,0.2,5.5,1.2,9.1,16.9
Bradleyville,74.9,15.6,1.0,3.3,0.7,4.5,20.7
Brady,80.5,11.3,0.0,6.1,0.0,2.0,16.2
Braidwood,83.9,6.2,3.9,0.7,1.2,4.0,32.6
Branchville,85.5,11.3,0.2,0.7,0.7,1.6,22.5
Brandon,80.4,8.9,1.4,1.6,2.0,5.5,26.4
Brandy Station,81.8,9.1,1.2,1.8,1.0,5.1,38.7
Brasstown,92.9,3.7,0.0,0.8,0.2,2.4,18.4
Braxton,87.5,8.9,0.1,0.4,0.9,2.3,25.4
Brazil,83.2,8.7,0.5,2.3,1.5,3.8,26.8
Breaux Bridge,82.8,12.8,0.3,1.4,1.4,1.3,27.5
Breckenridge,81.75,11.5,0.3,1.7,1.5,3.3,16.65
Breda,83.6,7.3,0.3,3.3,1.0,4.5,17.9
Breeding,83.0,8.7,2.3,0.4,0.8,4.8,20.8
Bremen,79.7,11.4,0.2,2.9,2.8,3.0,21.8
Bremo Bluff,78.9,14.0,0.1,0.2,0.3,6.4,33.6
Bremond,76.2,13.5,1.7,3.1,2.3,3.2,24.5
Brenham,81.75,11.25,0.2,1.3,1.4,4.15,24.35
Brewerton,79.7,7.9,3.2,4.4,1.3,3.6,20.1
Briceville,87.1,8.0,0.0,1.0,0.9,3.0,22.4
Bridgeport,84.2,8.3,0.6,2.6,1.9,2.4,21.8
Bridgeton,82.6,10.0,1.8,2.0,2.0,1.6,23.5
Bridgeville,65.3,10.9,1.1,4.9,1.9,15.7,18.0
Bridgewater Corners,76.2,10.5,0.9,4.4,1.0,7.0,22.3
Brierfield,83.2,13.5,0.5,0.6,1.5,0.7,28.8
Brighton,84.8,11.5,0.4,0.7,0.5,2.1,32.4
Brightwood,76.9,13.4,0.6,1.9,1.2,6.1,30.7
Briscoe,77.4,15.7,0.0,2.4,0.7,3.8,17.6
Bristol,83.92500000000001,8.55,1.6,1.7750000000000001,1.475,2.675,23.974999999999998
