City,Income,IncomeErr,IncomePerCap,IncomePerCapErr
Chesterland,72430.0,1872.0,37021.0,1291.0
Cheyenne,60706.0,2418.0,30047.0,798.0
Cheyenne Wells,52554.0,3744.0,23553.0,2388.0
Chicopee,50461.0,855.0,26560.0,351.0
Chicora,44942.0,1297.0,24391.0,490.0
Chiefland,35782.0,1566.0,20299.0,1411.0
Chili,45048.0,1517.0,21699.0,607.0
Chillicothe,40262.0,4259.0,21465.5,1743.5
Chilton,67427.0,1946.0,29479.0,909.0
Christiana,56219.0,1021.0,25663.0,422.0
Christmas Valley,32369.0,4018.0,20142.0,1587.0
Church Hill,36927.0,1670.0,20338.0,842.0
Ciales,12630.0,1487.0,6774.0,544.0
Cibolo,62420.0,1828.0,26928.0,545.0
Cidra,23315.0,1332.0,11678.0,562.0
Cincinnati,49013.0,655.0,30360.0,330.0
Cincinnatus,49514.0,1892.0,24228.0,794.0
Cisco,34888.0,3563.0,22135.0,3222.0
Claremont,47957.5,2143.0,24329.5,1706.5
Clarence,45636.5,2141.0,23530.5,853.0
Clarendon,36681.0,4127.0,20204.0,1468.0
Clark,49600.0,3039.0,25250.0,1358.0
Clarks Mills,44156.0,997.0,23683.0,715.0
Clarksdale,55613.0,4822.0,26778.0,1461.0
Clarkson,53416.0,3067.0,27463.0,6072.0
Clarkston,44394.0,3105.0,25132.0,1523.0
Clay City,44209.0,2123.0,22797.0,1506.0
Clayton,41642.4,3021.8,23391.8,2358.0
Cle Elum,46458.0,3093.0,24014.0,921.0
Clearbrook,43421.0,1966.0,23391.0,979.0
Cleveland,46242.25,2080.0,24338.5,807.75
Clifford,47558.0,3068.0,23469.0,1013.0
Clifton,48370.0,4134.0,25732.5,2195.0
Clifton Forge,45007.0,2876.0,24118.0,1077.0
Clinton,41218.0,3677.0,19597.0,1378.0
Clio,32964.0,2973.0,16824.0,798.0
Cloquet,53227.0,2135.0,24584.0,630.0
Clover,54117.0,1394.0,27868.0,670.0
Cloverdale,42581.0,2666.0,22426.0,1320.0
Cluster Springs,35240.0,2552.0,19782.0,799.0
Coahoma,49575.0,2957.0,22049.0,1248.0
Coal City,65887.0,3181.0,29622.0,971.0
Coalgate,38243.0,5554.0,22977.0,1993.0
Coamo,18233.0,1038.0,9634.0,672.0
Coats,49550.0,4480.0,27078.0,1959.0
Coatsville,37500.0,3596.0,19650.0,1557.0
Coeburn,33624.0,3355.0,20275.0,1740.0
Coffeeville,31779.0,2572.0,19138.0,1933.0
Colby,48504.0,4154.0,26309.0,2413.0
Cold Brook,46229.0,1711.0,23753.0,641.0
Coldwater,42880.0,2739.0,21547.0,1559.0
Colebrook,42312.0,1911.0,24546.0,943.0
Coleman,46040.0,1565.0,25703.0,826.0
Collierville,54890.0,2367.0,29431.0,1410.0
Collins,33980.0,4566.0,14957.0,878.0
Collinston,28003.0,3159.0,18209.0,2196.0
Collison,42977.0,1779.0,22233.0,497.0
Colonial Heights,50304.0,3528.0,27572.0,1608.0
Colorado City,49870.0,2833.0,18764.0,1852.0
Colt,32105.0,2438.0,15971.0,1016.0
Columbia,48999.0,2051.0,25604.5,1096.0
Columbia City,54389.0,2484.0,26383.0,1034.0
Columbia Falls,47851.0,1921.0,26388.0,1153.0
Columbiaville,52996.0,1367.0,24478.0,459.0
Columbus,52746.5,1821.0,26900.5,977.0
Columbus Grove,60524.0,1616.0,26269.0,616.0
Comanche,43781.0,2067.0,24291.0,965.0
Comer,44226.0,3798.0,21848.0,1460.0
Comerio,13124.0,989.0,7076.0,602.0
Comfort,73240.0,5878.0,36126.0,1994.0
Comfrey,46750.0,3851.0,24978.0,1079.0
Comins,33021.0,2322.0,19520.0,1140.0
Commerce,35081.5,2196.5,17939.5,747.5
Commiskey,44736.0,2657.0,21434.0,1066.0
Concord,50512.5,3177.0,25910.5,2144.5
Concrete,54129.0,1535.0,27794.0,665.0
Conehatta,37045.0,3054.0,20413.0,2357.0
Conley,40938.0,934.0,18107.0,354.0
Connellsville,39636.0,1439.0,22014.0,458.0
Conover,41061.0,1677.0,26304.0,1031.0
Conrad,42264.0,6153.0,22797.0,2897.0
Conroe,68838.0,1533.0,34215.0,709.0
Converse,44226.0,2187.0,24297.0,571.0
Conway,36864.0,1440.5,21137.0,852.0
Conway Springs,50141.0,2850.0,24214.0,822.0
Cook Station,36743.0,3185.0,19017.0,1119.0
Coon Valley,47675.0,1928.0,23985.0,1400.0
Cooper,46898.0,2939.0,26918.0,1963.0
Coquille,38605.0,1445.0,22667.0,1154.0
Cora,81772.0,11745.0,33193.0,2976.0
Corinth,44547.5,2317.0,21908.0,698.0
Cornersville,42661.0,2531.0,21962.0,1108.0
Corning,41001.0,2564.0,21263.0,768.0
Cornish,56032.0,3190.0,29004.0,928.0
Corsica,48750.0,3117.0,25965.0,2066.0
Cortez,43553.0,2152.0,23470.0,1050.0
Corunna,48287.0,1754.5,23799.0,804.5
Corwith,52981.0,3570.0,26846.0,1230.0
Cosby,36722.5,2136.0,20587.0,1191.0
Coshocton,41701.0,1707.0,20713.0,754.0
