City,Professional,Service,Office,Construction,Production
Bradleyville,24.6,28.1,30.2,8.8,8.3
Brady,26.9,22.4,22.2,15.4,13.2
Braidwood,36.4,15.8,25.3,8.6,13.9
Branchville,19.8,20.7,18.0,10.5,30.9
Brandon,37.4,17.7,27.7,8.8,8.4
Brandy Station,35.9,16.4,24.0,12.7,11.0
Brasstown,28.9,28.5,22.6,9.2,10.8
Braxton,41.0,14.0,25.5,10.6,8.8
Brazil,21.4,18.2,23.3,14.4,22.7
Breaux Bridge,24.2,20.1,24.1,15.3,16.3
Breckenridge,58.8,33.599999999999994,44.8,34.2,28.700000000000003
Breda,27.3,18.3,23.8,11.1,19.4
Breeding,30.7,16.6,20.3,11.6,20.7
Bremen,26.9,12.7,21.9,10.3,28.2
Bremo Bluff,43.2,15.1,24.3,11.1,6.3
Bremond,26.2,20.7,22.8,14.7,15.6
Brenham,60.8,33.6,44.4,25.9,35.4
Brewerton,40.8,17.1,25.8,6.8,9.4
Briceville,34.1,17.6,25.5,9.7,13.1
Bridgeport,32.8,18.3,25.0,11.9,12.1
Bridgeton,26.3,23.6,22.2,11.1,16.9
Bridgeville,29.8,30.0,22.1,11.1,7.1
Bridgewater Corners,39.5,17.5,20.6,10.7,11.7
Brierfield,21.5,17.9,17.8,19.0,23.7
Brighton,29.2,16.1,23.9,14.4,16.4
Brightwood,30.7,22.2,20.6,15.1,11.4
Briscoe,28.9,16.6,25.3,19.2,10.1
Bristol,132.0,78.6,97.0,34.900000000000006,57.5
Bristow,57.099999999999994,35.2,40.3,28.9,38.5
Broadus,43.0,14.1,17.1,18.9,6.9
Broadview,54.2,34.900000000000006,40.7,40.2,29.9
Brocket,34.9,17.3,26.3,11.7,9.9
Broken Bow,23.2,19.1,19.7,15.2,22.9
Bronston,29.7,18.9,26.4,9.8,15.1
Bronx,24.3,33.3,24.2,7.1,11.0
Brookesmith,32.3,19.8,22.5,10.0,15.4
Brookings,34.9,17.4,21.5,10.9,15.3
Brooklyn,70.6,44.7,45.900000000000006,16.5,22.3
Brooks,26.2,13.0,28.0,11.3,21.5
Brooksville,29.1,20.0,29.6,10.9,10.3
Brookville,25.1,18.2,20.4,12.9,23.4
Broomfield,44.0,15.2,25.1,8.0,7.7
Browns Valley,42.0,18.4,18.9,11.6,9.1
Brownsville,27.9,25.3,25.0,10.7,11.1
Brownton,30.5,17.3,20.7,10.1,21.4
Brunswick,64.0,38.0,48.099999999999994,20.7,29.1
Brusly,30.3,17.8,24.2,11.9,15.6
Brutus,24.8,22.4,26.5,13.7,12.6
Bryan,40.1,17.2,24.7,9.3,8.7
Buchanan,107.5,57.3,64.0,29.700000000000003,41.6
Buckatunna,21.8,14.4,22.2,18.8,22.8
Buckhannon,31.8,18.4,19.8,14.5,15.5
Buckholts,30.0,16.7,23.0,17.9,12.4
Buena Vista,52.3,46.9,46.7,20.0,34.0
Buffalo,100.4,46.6,57.39999999999999,56.4,39.1
Buford,28.3,15.1,24.3,11.1,21.2
Buhl,27.5,18.9,11.4,28.4,13.9
Bullhead City,25.0,25.2,27.4,10.5,12.0
Bullock,23.0,23.6,23.3,9.8,20.3
Buna,24.2,18.4,24.4,17.3,15.7
Buncombe,31.6,20.5,19.2,13.3,15.4
Burbank,39.6,17.7,24.6,8.9,9.1
Burgaw,29.2,17.7,23.8,16.1,13.2
Burley,21.7,17.0,19.3,20.9,21.0
Burlington,104.4,52.99999999999999,64.30000000000001,38.7,39.6
Burlington Junction,28.3,22.8,20.1,10.3,18.5
Burns,28.3,17.5,24.5,12.6,17.0
Burnsville,22.0,14.4,24.5,10.9,28.1
Burton,23.4,21.4,18.7,19.2,17.3
Burwell,82.1,27.5,36.1,34.1,20.200000000000003
Bushnell,31.7,12.8,23.2,12.3,20.0
Bussey,36.1,16.3,21.5,7.3,18.7
Butte,75.7,36.6,36.5,26.3,24.9
Butternut,27.6,20.6,22.2,14.1,15.5
Byhalia,33.6,14.5,25.9,10.2,15.8
Byrdstown,32.0,21.8,19.9,10.6,15.7
Byron,62.9,37.0,44.5,31.0,24.6
Cabins,20.9,17.1,20.9,15.3,25.8
Cadiz,34.1,12.8,23.8,8.2,21.1
Caguas,36.0,18.6,28.8,7.2,9.4
Cairo,46.4,47.599999999999994,46.4,19.0,40.7
Caldwell,26.4,18.7,21.7,10.9,22.3
Caledonia,35.2,17.9,21.9,11.6,13.3
Calhoun,58.0,36.1,46.5,24.6,34.900000000000006
Calhoun City,23.8,15.2,19.1,13.2,28.6
Caliente,35.9,31.1,15.9,14.6,2.4
Call,21.8,20.8,21.8,17.0,18.7
Calumet,39.1,22.4,20.5,8.5,9.6
Calvin,24.2,18.4,24.5,16.3,16.7
Camarillo,37.2,17.1,24.2,11.3,10.2
Cambria,25.8,17.5,19.3,12.6,24.8
Cambridge,82.19999999999999,56.5,69.3,38.6,53.6
Camden,78.2,53.4,70.9,33.4,64.0
Cameron,30.5,17.2,21.8,10.4,20.2
Camilla,28.4,15.2,23.2,12.3,21.0
Camp Douglas,23.9,21.4,22.0,11.4,21.4
Camp Hill,38.6,15.5,26.5,6.4,13.1
Campbellsburg,25.6,14.3,19.8,12.2,28.1
Campbelltown,29.0,18.4,23.8,10.0,18.7
Campton,72.5,30.8,45.900000000000006,22.9,27.8
Camuy,31.8,16.1,28.5,11.9,11.8
Canandaigua,38.8,17.0,23.7,8.8,11.6
Candor,53.2,36.400000000000006,39.2,26.8,44.4
Cannelburg,24.5,15.6,17.8,17.2,25.0
Cannon Beach,28.8,21.8,25.8,9.9,13.8
Canovanas,26.7,21.7,29.6,10.3,11.7
Canton,89.6,58.6,68.7,30.799999999999997,52.2
Cantwell,30.3,30.4,12.6,15.8,10.9
Cape Coral,30.2,22.6,28.1,11.1,8.1
Carey,31.9,26.2,22.6,13.8,5.5
Carlyle,31.8,18.1,22.6,10.9,16.6
Carmel,40.7,17.1,25.5,10.7,5.9
Carolina,33.6,19.5,31.3,7.3,8.2
Carpenter,59.5,36.4,43.8,30.3,30.2
Carrabelle,28.7,28.1,15.4,17.4,10.3
Carrington,31.6,15.8,21.6,13.5,17.4
Carrollton,36.2,14.5,22.7,13.4,13.2
Carson,69.4,34.7,35.599999999999994,23.2,37.3
Carson City,30.2,22.0,25.5,8.1,14.2
Cartersville,57.7,37.1,44.0,25.2,36.0
Carthage,114.80000000000001,78.4,78.39999999999999,57.300000000000004,71.0
Cartwright,32.5,11.4,21.8,19.7,14.6
Cascade Locks,35.6,16.3,18.2,15.9,14.0
Casco,29.3,13.6,20.9,15.4,20.8
Cassatt,31.0,17.0,22.9,12.7,16.5
Castalia,31.7,16.5,24.7,13.5,13.5
Castell,23.4,22.2,19.4,25.9,9.1
Castleford,28.4,19.3,23.6,13.5,15.3
Cataldo,31.0,18.4,27.2,11.6,11.9
Cataula,36.6,13.3,25.9,10.0,14.2
Catoosa,32.4,14.5,26.5,12.1,14.6
Cave City,28.2,17.0,20.8,14.6,19.4
Cayce,36.6,15.4,26.0,10.6,11.4
Cayey,32.5,19.6,25.4,9.3,13.2
Cayuga,23.1,16.6,23.8,10.3,26.1
Cecil,25.4,18.8,22.3,10.2,23.4
Cedar Bluff,30.8,12.8,24.8,15.8,15.7
Cedar Falls,26.1,14.6,24.3,10.6,24.4
Cedar Valley,40.3,15.6,26.2,7.6,10.3
Ceiba,23.1,24.3,27.9,11.6,13.1
Centenary,28.4,18.6,21.6,10.1,21.4
Center,61.8,33.599999999999994,38.8,36.5,29.4
Center Harbor,37.9,16.1,23.7,11.1,11.2
Centerview,30.0,20.9,22.4,12.5,14.1
Centerville,86.19999999999999,56.300000000000004,64.1,40.7,52.8
Central,33.6,17.8,22.7,9.1,16.8
Central Bridge,33.5,18.1,22.9,12.5,13.1
Central City,40.5,21.9,17.9,11.1,8.6
Centralia,27.1,21.9,19.9,8.6,22.5
Centreville,56.1,14.9,19.2,5.5,4.4
Ceres,26.4,18.3,24.2,14.0,17.1
Ceresco,36.3,15.3,25.1,11.1,12.2
Chadwick,28.5,16.7,18.2,10.8,25.9
Challis,29.8,15.4,23.6,21.9,9.4
Chamberlain,38.9,17.5,23.7,12.4,7.5
Chambers,37.2,16.8,14.2,22.3,9.5
Chapel Hill,55.1,16.2,18.0,5.5,5.2
Chapin,38.7,19.6,26.4,5.5,9.8
Chapmansboro,29.5,16.1,24.6,13.0,16.7
