City,Mean,Stdev,Median
Battle Lake,64311.5,51843.5,52548.5
Battleboro,90341.0,62125.0,69967.0
Battlefield,66960.0,40055.0,62012.0
Bauxite,41559.0,29635.0,36227.0
Baxley,43261.5,38271.0,32205.75
Baxter,42087.666666666664,37646.0,32110.0
Baxter Springs,53538.5,35770.5,49119.5
Bay,45468.0,32211.0,37685.0
Bay City,50091.88888888889,37596.555555555555,40731.444444444445
Bay Harbor Islands,127157.66666666667,87962.0,116603.66666666667
Bay Head,119923.0,79773.0,112255.0
Bay Minette,36474.0,31702.0,24377.0
Bay Point,78622.5,55565.5,161086.0
Bay Shore,90761.75,64901.25,75221.5
Bay Springs,40609.0,41488.0,28545.0
Bay St Louis,54651.0,44987.0,47338.0
Bay St. Louis,56160.0,49350.0,37595.0
Bay Village,87387.0,49744.0,199858.5
Bayamon,31181.956521739132,27125.91304347826,23947.391304347828
Bayonne,51429.857142857145,40112.142857142855,40707.71428571428
Bayou La Batre,25023.5,21894.0,17573.5
Bayport,101016.0,69668.0,82402.5
Bayside,72475.875,47889.875,139716.5
Baytown,65114.666666666664,52340.88888888889,79781.11111111111
Bayville,116148.0,60757.0,169299.33333333334
Beach Haven,0.0,0.0,0.0
Beach Park,94101.0,47165.0,88466.0
Beachwood,93623.0,60013.666666666664,78821.66666666667
Beacon,79365.0,53291.666666666664,140743.66666666666
Beacon Falls,81536.0,49644.0,79863.0
Beale Afb,32499.0,1826.0,300000.0
Bealeton,92289.66666666667,54851.0,82551.66666666667
Beallsville,53539.0,28849.0,54157.0
Bear,102027.0,58627.0,95612.0
Bear Lake,58700.0,37840.0,50406.0
Bear River City,64591.0,43907.5,53818.0
Beardstown,67360.0,45398.0,300000.0
Beasley,89667.0,68785.0,65062.0
Beatrice,43404.666666666664,32332.333333333332,125282.66666666667
Beattyville,34528.0,30530.0,29776.0
Beaufort,62468.75,48017.0,83043.375
Beaumont,42865.31578947369,32118.157894736843,70057.63157894737
Beaver,58080.5,48576.0,45535.5
Beaver Dam,63786.0,46777.4,54364.0
Beaver Falls,58220.0,44101.25,47840.5
Beaver Island,56784.0,44611.0,45780.0
Beavercreek,87294.5,53766.0,130386.75
Beaverton,75336.4,49555.066666666666,124488.26666666666
Becket,73612.0,52526.0,64745.0
Beckley,45882.0,51343.5,26672.5
Bedford,74829.33333333333,51320.8,91405.6
Bedford Hills,54908.0,35320.5,42139.5
Bedford Park,68251.0,44751.0,300000.0
Beebe,70523.66666666667,51031.666666666664,60689.0
Beech Grove,51950.666666666664,42940.0,127353.33333333333
Beecher,84528.0,57511.0,66962.0
Beeville,49061.0,33257.666666666664,46535.0
Beggs,39544.0,34196.0,30077.0
Bel Air,88717.6,56915.4,155854.8
Belcamp,103136.25,68316.5,97389.5
Belcourt,80827.0,48394.0,300000.0
Belden,54439.666666666664,51529.333333333336,40468.0
Belding,54233.5,42168.0,163906.0
Belen,43970.0,34920.0,33773.25
Belfair,64999.0,37542.0,177225.5
Belfast,56249.0,49900.5,48728.5
Belfry,43191.0,13535.0,43290.0
Belgrade,60583.0,43177.0,60389.0
Belington,55720.5,37282.5,52170.0
Bell,47286.0,32355.0,46398.0
Bell City,45498.0,38310.0,35120.0
Bell Gardens,54055.0,39564.5,46074.25
Bella Vista,65137.0,46877.25,55755.75
Bellaire,76105.6,51001.2,95340.4
Bellbrook,79893.0,62208.0,68121.0
Belle,45664.0,34484.0,41165.0
Belle Chasse,59798.5,41453.5,165624.5
Belle Fourche,40522.0,37527.0,34414.0
Belle Glade,50462.5,40787.25,42417.25
Belle Isle,86841.0,67824.0,67820.0
Belle Plaine,61921.666666666664,46600.0,48832.0
Belle Vernon,45255.0,41073.0,29148.0
Bellefontaine,51386.25,38908.75,112141.75
Bellefonte,60027.5,42751.5,50622.0
Bellerose,71496.0,66603.0,52667.0
Belleview,43499.5,38137.5,30235.5
Belleville,65589.88888888889,49200.166666666664,107452.94444444444
Bellevue,97793.5,60429.125,120949.41666666667
Bellflower,72411.44444444444,49910.77777777778,85877.88888888889
Bellingham,71477.91666666667,51828.666666666664,96935.33333333333
Bellmawr,65010.0,46367.0,58826.0
Bellmore,145410.0,71892.5,216687.0
Bellows Falls,44911.0,35325.0,300000.0
Bells,54014.0,41756.0,43548.0
Bellville,93033.0,68387.0,77358.0
Bellwood,72969.5,41709.5,185007.5
Belmond,48765.0,38988.0,38868.0
Belmont,83119.45454545454,58096.181818181816,68968.0
Beloit,49638.25,37388.5,40045.0
Belpre,46204.0,39709.0,30758.5
Belton,59364.142857142855,41279.71428571428,49290.71428571428
Beltsville,79275.0,56608.333333333336,65108.666666666664
